pair_id,dataset,outer_fold,meta_fold,draw,draw_seed,alpha_inner,lambda_meta,mu_harm,gA_norm,gB_future_norm,g_harm_norm,g_combined_norm,g_AB_mean_norm,gB_future_over_gA,half_g_harm_over_gA,g_combined_over_gA,g_AB_mean_over_gA,cos_A_B_future,cos_A_harm,cos_B_future_harm,active_harm_fraction,clip_threshold,clip_triggered,clip_post_norm,future_loss_mean,baseline_loss_mean,scalar_harm_mean
OpenBMI-fold0-meta0-draw0,OpenBMI,0,0,0,3425184207,0.0001,1.0,0.5,7.66585636138916,2.83105731010437,0.3797037899494171,9.800843238830566,5.088115215301514,0.3693073776288893,0.02476590820706491,1.2785059850840352,0.6637373537194058,0.7296538352966309,-0.6320788264274597,-0.5493512749671936,0.2857142984867096,5.0,True,5.0,0.2772328555583954,0.27890852093696594,0.00017355915042571723
OpenBMI-fold0-meta0-draw1,OpenBMI,0,0,1,3634027059,0.0001,1.0,0.5,2.809642791748047,2.8746254444122314,2.2580127716064453,4.1396074295043945,2.1284139156341553,1.0231284392646067,0.4018327130833597,1.473357197456726,0.7575389732407734,0.10159724205732346,-0.3714330494403839,0.0646200031042099,0.5714285969734192,5.0,False,4.1396074295043945,0.309984028339386,0.3100705146789551,0.00023393600713461637
OpenBMI-fold0-meta0-draw2,OpenBMI,0,0,2,3539310556,0.0001,1.0,0.5,4.887876033782959,1.9783861637115479,2.2413792610168457,5.0253472328186035,2.7874817848205566,0.40475375194415086,0.2292794708300055,1.0281249356746163,0.5702848774303289,0.10357795655727386,-0.6105188727378845,0.19804535806179047,0.5714285969734192,5.0,True,5.0,0.30810683965682983,0.3082321584224701,0.0006582726491615176
OpenBMI-fold0-meta0-draw3,OpenBMI,0,0,3,4271598621,0.0001,1.0,0.5,3.350719928741455,4.6460089683532715,4.1458306312561035,7.024166584014893,3.273042678833008,1.3865703691022402,0.6186477412950021,2.0963156376525927,0.9768177431834408,0.30580469965934753,-0.3296199142932892,0.37831392884254456,0.4285714626312256,5.0,True,5.0,0.3913798928260803,0.3918634355068207,0.00045518792467191815
OpenBMI-fold0-meta0-draw4,OpenBMI,0,0,4,1511058422,0.0001,1.0,0.5,5.5953545570373535,6.030152320861816,2.3903417587280273,9.260486602783203,5.024699687957764,1.0777069190865862,0.21360056224870164,1.6550312421464273,0.8980127419518269,0.45587196946144104,-0.6912887692451477,-0.33714890480041504,0.7142857313156128,5.0,True,5.0,0.36828988790512085,0.36986127495765686,0.0008998742559924722
OpenBMI-fold0-meta0-draw5,OpenBMI,0,0,5,382199347,0.0001,1.0,0.5,2.8302359580993652,5.841277599334717,8.118609428405762,9.426196098327637,2.936221122741699,2.0638836075199207,1.4342637060299708,3.33053365086131,1.0374474659397332,-0.21017107367515564,-0.33233124017715454,0.9453168511390686,0.5714285969734192,5.0,True,5.0,0.29217806458473206,0.29184433817863464,0.000753951957449317
OpenBMI-fold0-meta0-draw6,OpenBMI,0,0,6,2425837263,0.0001,1.0,0.5,3.964322090148926,3.048281669616699,0.8770881295204163,5.946450233459473,3.1112422943115234,0.7689288610507896,0.11062271298539558,1.4999917005321042,0.7848106747034383,0.5162577629089355,-0.3902457654476166,-0.35918402671813965,0.2857142984867096,5.0,True,5.0,0.20651276409626007,0.2071511447429657,0.00013429140381049365
OpenBMI-fold0-meta0-draw7,OpenBMI,0,0,7,3322231461,0.0001,1.0,0.5,3.0467185974121094,3.2857940196990967,4.268234729766846,4.755465984344482,1.839718222618103,1.0784698076448735,0.7004642196677263,1.5608484447443842,0.6038359513020876,-0.3316229581832886,-0.4822392463684082,0.7766268253326416,0.4285714626312256,5.0,False,4.755465984344482,0.26743730902671814,0.2671164274215698,0.0006196967442519963
OpenBMI-fold0-meta0-draw8,OpenBMI,0,0,8,346633995,0.0001,1.0,0.5,3.9183990955352783,4.612772464752197,1.2193949222564697,7.418132781982422,3.777318000793457,1.177208434436427,0.15559861215335094,1.8931539644429858,0.9639952206750526,0.5248856544494629,-0.11872203648090363,-0.06783907115459442,0.2857142984867096,5.0,True,5.0,0.2245354801416397,0.22549667954444885,5.224240885581821e-05
OpenBMI-fold0-meta0-draw9,OpenBMI,0,0,9,3460317627,0.0001,1.0,0.5,4.733425140380859,2.524158477783203,2.6959357261657715,5.7652268409729,2.759138822555542,0.5332625747578856,0.28477641942266485,1.2179820468247693,0.5829053467049311,0.05134434998035431,-0.29688090085983276,0.7649884819984436,0.7142857313156128,5.0,True,5.0,0.2907007336616516,0.2907719612121582,0.0003735699865501374
OpenBMI-fold0-meta1-draw0,OpenBMI,0,1,0,3265967206,0.0001,1.0,0.5,3.313434600830078,3.6128122806549072,2.563074827194214,5.343153476715088,2.840017557144165,1.0903526750610468,0.3867700944741923,1.612572487586303,0.8571219593206055,0.3093092739582062,-0.3888147473335266,-0.13257582485675812,0.2857142984867096,5.0,True,5.0,0.3370717167854309,0.3374525010585785,0.00032645039027556777
OpenBMI-fold0-meta1-draw1,OpenBMI,0,1,1,3288759217,0.0001,1.0,0.5,4.984551429748535,2.401344060897827,1.8142001628875732,5.671174049377441,3.078054666519165,0.48175730449208587,0.18198228952560908,1.1377501324454276,0.6175188900948805,0.2703441083431244,-0.6441943645477295,0.01854122243821621,0.5714285969734192,5.0,True,5.0,0.3270912170410156,0.327429860830307,0.0005739725311286747
OpenBMI-fold0-meta1-draw2,OpenBMI,0,1,2,2945021685,0.0001,1.0,0.5,3.3854868412017822,3.1768269538879395,1.9793590307235718,5.052488803863525,2.30259370803833,0.9383663570112201,0.2923300434422805,1.4923965269556299,0.6801366586381278,-0.017558543011546135,-0.19803035259246826,0.747308611869812,0.7142857313156128,5.0,True,5.0,0.30726808309555054,0.30724984407424927,0.00013241279521025717
OpenBMI-fold0-meta1-draw3,OpenBMI,0,1,3,2553282426,0.0001,1.0,0.5,2.2987403869628906,3.048449993133545,1.8611921072006226,4.5381340980529785,2.1904451847076416,1.3261393110864403,0.40482868743165046,1.9741829585413897,0.9528893289257735,0.3171085715293884,-0.232000470161438,0.29956433176994324,0.5714285969734192,5.0,False,4.5381340980529785,0.3781643509864807,0.37838882207870483,9.777503873920068e-05
OpenBMI-fold0-meta1-draw4,OpenBMI,0,1,4,2846830592,0.0001,1.0,0.5,4.023556232452393,4.12305212020874,1.7608402967453003,6.286050319671631,3.348626136779785,1.0247283452767115,0.2188164145120016,1.5623120335614717,0.8322553341671003,0.3327127993106842,-0.539756715297699,-0.22922001779079437,0.2857142984867096,5.0,True,5.0,0.3394722640514374,0.34003350138664246,0.0003756944788619876
OpenBMI-fold0-meta1-draw5,OpenBMI,0,1,5,3087942402,0.0001,1.0,0.5,3.2663049697875977,4.610867023468018,1.6253340244293213,6.963119983673096,3.524143934249878,1.411646207600711,0.2488031643498087,2.131803382745946,1.0789390356525854,0.5422892570495605,-0.2952825427055359,0.15066097676753998,0.2857142984867096,5.0,True,5.0,0.31382057070732117,0.3146502375602722,0.00015356711810454726
OpenBMI-fold0-meta1-draw6,OpenBMI,0,1,6,1090225046,0.0001,1.0,0.5,2.6499063968658447,3.1814563274383545,1.1647895574569702,4.7274250984191895,2.2810192108154297,1.20059196475815,0.21977937764794553,1.7839970136343355,0.8607923711997097,0.21098023653030396,-0.16270329058170319,0.48857587575912476,0.1428571492433548,5.0,False,4.7274250984191895,0.34928643703460693,0.34946516156196594,5.0272261432837695e-05
OpenBMI-fold0-meta1-draw7,OpenBMI,0,1,7,3366968985,0.0001,1.0,0.5,3.8887085914611816,4.437110900878906,3.33630108833313,5.827266693115234,3.1311349868774414,1.1410242749024457,0.4289728851962542,1.4985094809908706,0.8051863268316842,0.09864567220211029,-0.6788206696510315,0.11936807632446289,0.4285714626312256,5.0,True,5.0,0.38398730754852295,0.3841762840747833,0.0008690485265105963
OpenBMI-fold0-meta1-draw8,OpenBMI,0,1,8,826292362,0.0001,1.0,0.5,2.2739181518554688,3.415971040725708,0.9257521629333496,4.596275806427002,2.4204394817352295,1.5022401039097861,0.20355881371058926,2.021302219113093,1.0644356217308009,0.4095335304737091,-0.27292925119400024,-0.5425536632537842,0.1428571492433548,5.0,False,4.596275806427002,0.33551913499832153,0.3358387053012848,5.731838245992549e-05
OpenBMI-fold0-meta1-draw9,OpenBMI,0,1,9,1421120743,0.0001,1.0,0.5,5.212067127227783,2.4780917167663574,1.526745319366455,6.549190044403076,3.606795310974121,0.47545276303538625,0.14646255334958694,1.2565436868973112,0.6920086067449632,0.6643282771110535,-0.7868446707725525,-0.5014028549194336,0.2857142984867096,5.0,True,5.0,0.30354318022727966,0.3044290542602539,0.0006185173988342285
OpenBMI-fold0-meta2-draw0,OpenBMI,0,2,0,145253138,0.0001,1.0,0.5,3.8309099674224854,3.0967795848846436,3.0674660205841064,4.341144561767578,2.253230094909668,0.8083665790162696,0.4003573624373063,1.1331888764507794,0.5881709865464908,-0.18194277584552765,-0.5090888738632202,0.26598209142684937,0.2857142984867096,5.0,False,4.341144561767578,0.41051656007766724,0.4103136956691742,0.0005908629973419011
OpenBMI-fold0-meta2-draw1,OpenBMI,0,2,1,412185267,0.0001,1.0,0.5,5.790015697479248,2.509096145629883,2.929471731185913,5.726548671722412,3.3500282764434814,0.4333487639286103,0.2529761475829239,0.9890385399499924,0.5785870801528148,0.15777094662189484,-0.7570440769195557,-0.1245240643620491,0.4285714626312256,5.0,True,5.0,0.32156091928482056,0.3217979967594147,0.0012789092725142837
OpenBMI-fold0-meta2-draw2,OpenBMI,0,2,2,1068392816,0.0001,1.0,0.5,4.149094104766846,5.408647537231445,0.6045055985450745,8.247323989868164,4.097625255584717,1.303573117567402,0.0728479016480447,1.9877408855086969,0.9875951598391087,0.4496752917766571,-0.021328531205654144,0.40669775009155273,0.1428571492433548,5.0,True,5.0,0.35833242535591125,0.35934701561927795,4.125492978346301e-06
