model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,BA,CE,MacroF1,feature_family,n_trials,policy,selected_alpha,selected_tau,subject_id,train_lso_BA,ridge_lambdas,ridge_lso_mse,selected_delta,train_nested_subject_BA
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.29285523295402527,0.8899889988998899,A,100,ReliabilityArbitration,0.25,0.25,3,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6068217158317566,0.7286704853783539,A,100,ReliabilityArbitration,0.25,0.25,5,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.23071187734603882,0.8787878787878788,A,100,ReliabilityArbitration,0.25,0.25,6,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.5087301135063171,0.8099809980998101,A,100,ReliabilityArbitration,0.25,0.25,15,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.65,0.9764584898948669,0.64996499649965,A,100,ReliabilityArbitration,0.25,0.25,32,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.623099684715271,0.7237851662404092,A,100,ReliabilityArbitration,0.25,0.25,33,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5588474869728088,0.7331691297208538,A,100,ReliabilityArbitration,0.25,0.25,38,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.85,0.3985932469367981,0.8498648783905515,A,100,ReliabilityArbitration,0.25,0.25,47,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.3028510510921478,0.8899889988998899,B,100,ReliabilityArbitration,0.25,0.25,3,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6311083436012268,0.7286704853783539,B,100,ReliabilityArbitration,0.25,0.25,5,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.23071187734603882,0.8787878787878788,B,100,ReliabilityArbitration,0.25,0.25,6,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.5007370114326477,0.8099809980998101,B,100,ReliabilityArbitration,0.25,0.25,15,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.65,0.9726172685623169,0.64996499649965,B,100,ReliabilityArbitration,0.25,0.25,32,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.623099684715271,0.7237851662404092,B,100,ReliabilityArbitration,0.25,0.25,33,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5603711605072021,0.7331691297208538,B,100,ReliabilityArbitration,0.25,0.25,38,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.85,0.39994657039642334,0.8498648783905515,B,100,ReliabilityArbitration,0.25,0.25,47,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.29516473412513733,0.8899889988998899,C,100,ReliabilityArbitration,0.25,0.25,3,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6311083436012268,0.7286704853783539,C,100,ReliabilityArbitration,0.25,0.25,5,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.23071187734603882,0.8787878787878788,C,100,ReliabilityArbitration,0.25,0.25,6,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.5044767260551453,0.8099809980998101,C,100,ReliabilityArbitration,0.25,0.25,15,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.65,0.9736423492431641,0.64996499649965,C,100,ReliabilityArbitration,0.25,0.25,32,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6248965263366699,0.7237851662404092,C,100,ReliabilityArbitration,0.25,0.25,33,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5588474869728088,0.7331691297208538,C,100,ReliabilityArbitration,0.25,0.25,38,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.85,0.4068690538406372,0.8498648783905515,C,100,ReliabilityArbitration,0.25,0.25,47,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.2860083281993866,0.8899889988998899,D,100,ReliabilityArbitration,0.75,0.5,3,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5996557474136353,0.7286704853783539,D,100,ReliabilityArbitration,0.75,0.5,5,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.2171316146850586,0.8787878787878788,D,100,ReliabilityArbitration,0.75,0.5,6,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.48395445942878723,0.8099809980998101,D,100,ReliabilityArbitration,0.75,0.5,15,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.65,0.94896399974823,0.64996499649965,D,100,ReliabilityArbitration,0.75,0.5,32,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6073498725891113,0.7237851662404092,D,100,ReliabilityArbitration,0.75,0.5,33,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.561692476272583,0.7331691297208538,D,100,ReliabilityArbitration,0.75,0.5,38,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.85,0.3906511664390564,0.8498648783905515,D,100,ReliabilityArbitration,0.75,0.5,47,0.8014583333333334,,,,
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.28945037722587585,0.8799519807923168,A,100,one_d_gain,,,3,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5965117812156677,0.7390606182256123,A,100,one_d_gain,,,5,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.21679286658763885,0.8891017239641092,A,100,one_d_gain,,,6,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8200000000000001,0.4780865013599396,0.8199279711884754,A,100,one_d_gain,,,15,,"[10.0, 10.0, 10.0, 10.0]","[0.32276153564453125, 0.17995840311050415, 0.0795263722538948, 0.01984584517776966]",0.1,0.8002083333333333
