model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,C_only_BA,C_only_CE,C_only_MacroF1,P_only_BA,P_only_CE,P_only_MacroF1,fixed_alpha_0.25_BA,fixed_alpha_0.25_CE,fixed_alpha_0.25_MacroF1,fixed_alpha_0.5_BA,fixed_alpha_0.5_CE,fixed_alpha_0.5_MacroF1,fixed_alpha_0.75_BA,fixed_alpha_0.75_CE,fixed_alpha_0.75_MacroF1,fixed_alpha_0_BA,fixed_alpha_0_CE,fixed_alpha_0_MacroF1,fixed_alpha_1_BA,fixed_alpha_1_CE,fixed_alpha_1_MacroF1,gain_2d_A_BA,gain_2d_A_CE,gain_2d_A_MacroF1,gain_2d_C_BA,gain_2d_C_CE,gain_2d_C_MacroF1,gain_2d_D_BA,gain_2d_D_CE,gain_2d_D_MacroF1,gain_alpha_A_BA,gain_alpha_A_CE,gain_alpha_A_MacroF1,gain_alpha_C_BA,gain_alpha_C_CE,gain_alpha_C_MacroF1,gain_alpha_D_BA,gain_alpha_D_CE,gain_alpha_D_MacroF1,native_BA,native_CE,native_MacroF1,oracle_2d_BA,oracle_2d_CE,oracle_2d_MacroF1,oracle_suppression_BA,oracle_suppression_CE,oracle_suppression_MacroF1,reliability_A_BA,reliability_A_CE,reliability_A_MacroF1,reliability_B_BA,reliability_B_CE,reliability_B_MacroF1,reliability_C_BA,reliability_C_CE,reliability_C_MacroF1,reliability_D_BA,reliability_D_CE,reliability_D_MacroF1,subject_id
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5515307784080505,0.7277951406391774,0.8200000000000001,0.4525229334831238,0.8197115384615384,0.8200000000000001,0.3803543150424957,0.8197115384615384,0.88,0.3305473327636719,0.8798076923076923,0.87,0.30017340183258057,0.8698828946051447,0.8200000000000001,0.4525229334831238,0.8197115384615384,0.89,0.28605905175209045,0.8899889988998899,0.89,0.2865935266017914,0.8899889988998899,0.88,0.2998259365558624,0.8799519807923168,0.88,0.2942711114883423,0.8799519807923168,0.88,0.28945037722587585,0.8799519807923168,0.89,0.28542622923851013,0.8899889988998899,0.89,0.28542622923851013,0.8899889988998899,0.89,0.28605905175209045,0.8899889988998899,0.96,0.12207654863595963,0.959983993597439,0.95,0.21500622860614904,0.9499949994999499,0.89,0.29285523295402527,0.8899889988998899,0.89,0.3028510510921478,0.8899889988998899,0.89,0.29516473412513733,0.8899889988998899,0.89,0.2860083281993866,0.8899889988998899,3
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.63,0.7049331665039062,0.62996299629963,0.6699999999999999,0.7310603857040405,0.6601791782514674,0.7,0.6610600352287292,0.6940024479804161,0.76,0.6163639426231384,0.7584541062801933,0.76,0.5961245894432068,0.7584541062801933,0.6699999999999999,0.7310603857040405,0.6601791782514674,0.73,0.5983302593231201,0.7286704853783539,0.73,0.5973166823387146,0.7286704853783539,0.74,0.5960151553153992,0.7390606182256123,0.74,0.6026670336723328,0.7390606182256123,0.74,0.5965117812156677,0.7390606182256123,0.73,0.6008115410804749,0.7286704853783539,0.74,0.5985300540924072,0.7390606182256123,0.73,0.5983302593231201,0.7286704853783539,0.88,0.2826848328113556,0.8798076923076923,0.8200000000000001,0.43655840105124855,0.818840579710145,0.73,0.6068217158317566,0.7286704853783539,0.73,0.6311083436012268,0.7286704853783539,0.73,0.6311083436012268,0.7286704853783539,0.73,0.5996557474136353,0.7286704853783539,5
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.8200000000000001,0.4388399124145508,0.8199279711884754,0.79,0.42172542214393616,0.7821350762527233,0.84,0.3379434645175934,0.8368013055895553,0.85,0.2785099744796753,0.8474214220323466,0.87,0.24031271040439606,0.8684077335762729,0.79,0.42172542214393616,0.7821350762527233,0.88,0.21834421157836914,0.8787878787878788,0.88,0.21626433730125427,0.8787878787878788,0.89,0.21973958611488342,0.8891017239641092,0.89,0.2229519784450531,0.8891017239641092,0.89,0.21679286658763885,0.8891017239641092,0.89,0.2219998687505722,0.8891017239641092,0.89,0.22205591201782227,0.8891017239641092,0.88,0.21834421157836914,0.8787878787878788,0.97,0.0996004119515419,0.9699729756781104,0.9299999999999999,0.18233679896215485,0.9298245614035088,0.88,0.23071187734603882,0.8787878787878788,0.88,0.23071187734603882,0.8787878787878788,0.88,0.23071187734603882,0.8787878787878788,0.88,0.2171316146850586,0.8787878787878788,6
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.75,0.5690381526947021,0.74997499749975,0.6200000000000001,0.7871798872947693,0.6186270574066639,0.6499999999999999,0.6721414923667908,0.6491228070175439,0.69,0.5830008387565613,0.6899689968996899,0.76,0.5202840566635132,0.7596153846153846,0.6200000000000001,0.7871798872947693,0.6186270574066639,0.81,0.4828518331050873,0.8099809980998101,0.81,0.4801395535469055,0.8099809980998101,0.81,0.4996609091758728,0.8099809980998101,0.81,0.49466443061828613,0.8099809980998101,0.8200000000000001,0.4780865013599396,0.8199279711884754,0.8200000000000001,0.477030485868454,0.8199279711884754,0.8200000000000001,0.4769517183303833,0.8199279711884754,0.81,0.48285186290740967,0.8099809980998101,0.9099999999999999,0.21447867155075073,0.9097744360902256,0.87,0.39774018104022074,0.8699869986998701,0.81,0.5087301135063171,0.8099809980998101,0.81,0.5007370114326477,0.8099809980998101,0.81,0.5044767260551453,0.8099809980998101,0.81,0.48395445942878723,0.8099809980998101,15
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.5900000000000001,0.8716375231742859,0.5896306676008407,0.5700000000000001,0.7676723599433899,0.5647332725984411,0.62,0.7753334641456604,0.6161616161616161,0.64,0.8114646673202515,0.6376811594202898,0.65,0.8708714246749878,0.64996499649965,0.5700000000000001,0.7676723599433899,0.5647332725984411,0.65,0.9489966630935669,0.64996499649965,0.66,0.9515340328216553,0.6598639455782312,0.6699999999999999,0.988640308380127,0.6697027324592133,0.6699999999999999,1.0174329280853271,0.6697027324592133,0.66,0.9496777057647705,0.6598639455782312,0.66,0.9546454548835754,0.6598639455782312,0.66,0.9525960683822632,0.6598639455782312,0.65,0.9489966630935669,0.64996499649965,0.76,0.49230849742889404,0.7599039615846338,0.74,0.5380272693655956,0.7390606182256123,0.65,0.9764584898948669,0.64996499649965,0.65,0.9726172685623169,0.64996499649965,0.65,0.9736423492431641,0.64996499649965,0.65,0.94896399974823,0.64996499649965,32
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.7,0.7402618527412415,0.6940024479804161,0.73,0.6442617774009705,0.7293233082706767,0.73,0.5915180444717407,0.7266929851199515,0.71,0.5692310333251953,0.7050147492625369,0.75,0.5737089514732361,0.7457023700539112,0.73,0.6442617774009705,0.7293233082706767,0.73,0.6003941893577576,0.7237851662404092,0.73,0.6007088422775269,0.7237851662404092,0.73,0.5836076140403748,0.7237851662404092,0.73,0.582008421421051,0.7237851662404092,0.73,0.6021430492401123,0.7237851662404092,0.73,0.6044777631759644,0.7237851662404092,0.73,0.6056299805641174,0.7237851662404092,0.73,0.6003941297531128,0.7237851662404092,0.85,0.2745227515697479,0.8481627695110842,0.8500000000000001,0.37668758234329663,0.8492613807657522,0.73,0.623099684715271,0.7237851662404092,0.73,0.623099684715271,0.7237851662404092,0.73,0.6248965263366699,0.7237851662404092,0.73,0.6073498725891113,0.7237851662404092,33
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.62,0.7490757703781128,0.6124031007751938,0.71,0.5913799405097961,0.7064480210547626,0.74,0.5574497580528259,0.7362012987012987,0.74,0.5421167016029358,0.7331691297208538,0.77,0.5441741347312927,0.7647058823529411,0.71,0.5913799405097961,0.7064480210547626,0.74,0.5626210570335388,0.7331691297208538,0.74,0.5596972107887268,0.7331691297208538,0.74,0.5201557278633118,0.7348021215830274,0.74,0.5251426100730896,0.7348021215830274,0.74,0.566687822341919,0.7348021215830274,0.73,0.5672472715377808,0.7253585596582239,0.73,0.5672472715377808,0.7253585596582239,0.74,0.5626210570335388,0.7331691297208538,0.87,0.2854839563369751,0.8693598633303186,0.8200000000000001,0.4017445304608458,0.8181818181818181,0.74,0.5588474869728088,0.7331691297208538,0.74,0.5603711605072021,0.7331691297208538,0.74,0.5588474869728088,0.7331691297208538,0.74,0.561692476272583,0.7331691297208538,38
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.6599999999999999,0.6648955345153809,0.6594551282051282,0.72,0.5905197262763977,0.72,0.75,0.4990761876106262,0.74997499749975,0.81,0.4362853765487671,0.8099809980998101,0.8200000000000001,0.40134119987487793,0.8199279711884754,0.72,0.5905197262763977,0.72,0.85,0.3912525475025177,0.8498648783905515,0.85,0.39296954870224,0.8498648783905515,0.8400000000000001,0.4051515460014343,0.8397435897435898,0.8400000000000001,0.41175341606140137,0.8397435897435898,0.84,0.39474597573280334,0.8399359743897559,0.84,0.3950155973434448,0.8399359743897559,0.84,0.3946983814239502,0.8399359743897559,0.85,0.3912525475025177,0.8498648783905515,0.95,0.18322071433067322,0.9499549594635172,0.92,0.28570298121918564,0.92,0.85,0.3985932469367981,0.8498648783905515,0.85,0.39994657039642334,0.8498648783905515,0.85,0.4068690538406372,0.8498648783905515,0.85,0.3906511664390564,0.8498648783905515,47
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.62,0.7478311657905579,0.6100164203612479,0.6699999999999999,0.6034780740737915,0.6691729323308271,0.67,0.5587718486785889,0.66996699669967,0.72,0.5398898124694824,0.719551282051282,0.69,0.544425368309021,0.6884735202492211,0.6699999999999999,0.6034780740737915,0.6691729323308271,0.71,0.5688661336898804,0.7085720028137876,0.71,0.5559908151626587,0.7085720028137876,0.71,0.5557248592376709,0.7085720028137876,0.71,0.5577426552772522,0.7085720028137876,0.7,0.5590969324111938,0.6989160979526294,0.7,0.5590969324111938,0.6989160979526294,0.7,0.5590969324111938,0.6989160979526294,0.71,0.5688661336898804,0.7085720028137876,0.8200000000000001,0.2945270836353302,0.8193496587715776,0.81,0.3856424459083568,0.8099809980998101,0.71,0.5689235329627991,0.7085720028137876,0.71,0.5689235329627991,0.7085720028137876,0.71,0.5689235329627991,0.7085720028137876,0.71,0.5689235329627991,0.7085720028137876,2
EEGNet,OpenBMI_MI,1,0,COMPLETE,31ece43171bf5373a32bc0aa46adc23920f1296ad9d59cc83d3f421c9f536afd,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.57,0.8163466453552246,0.562608076492727,0.71,0.6123998761177063,0.7097387648883995,0.7,0.5899677872657776,0.6995192307692308,0.72,0.5878223180770874,0.7198879551820728,0.72,0.60661780834198,0.7181964573268921,0.71,0.6123998761177063,0.7097387648883995,0.68,0.6450348496437073,0.6753246753246753,0.69,0.6289085149765015,0.6862030569895738,0.69,0.647266685962677,0.6862030569895738,0.69,0.6242331862449646,0.6862030569895738,0.7,0.640095591545105,0.6980676328502415,0.69,0.6350768804550171,0.6874684948079444,0.69,0.6302496790885925,0.6874684948079444,0.68,0.6450348496437073,0.6753246753246753,0.8200000000000001,0.3387358486652374,0.8199279711884754,0.84,0.42465760292791493,0.8399359743897559,0.68,0.6564823389053345,0.6753246753246753,0.68,0.6564823389053345,0.6753246753246753,0.68,0.6564823389053345,0.6753246753246753,0.68,0.6564823389053345,0.6753246753246753,14
