model,task,fold,seed,status,checkpoint_sha256,basis_sha256,split_sha256,BA,CE,MacroF1,feature_family,n_trials,policy,ridge_lambdas,ridge_lso_mse,selected_delta,subject_id,train_nested_subject_BA
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.89,0.2865935266017914,0.8899889988998899,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,3,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.5973166823387146,0.7286704853783539,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,5,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.21626433730125427,0.8787878787878788,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,6,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.81,0.4801395535469055,0.8099809980998101,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,15,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.66,0.9515340328216553,0.6598639455782312,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,32,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.73,0.6007088422775269,0.7237851662404092,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,33,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5596972107887268,0.7331691297208538,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,38,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.85,0.39296954870224,0.8498648783905515,A,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08465146273374557, 0.06388702988624573, 0.08297373354434967, 0.14227698743343353, 0.24207210540771484, 0.0613522082567215, 0.021170970052480698, 0.020590901374816895, 0.059791166335344315, 0.13912230730056763, 0.079526387155056, 0.01984584517776966, 0.019865043461322784, 0.07958526909351349, 0.13948367536067963, 0.05997888371348381, 0.020656142383813858, 0.021242622286081314, 0.061780042946338654, 0.24165526032447815, 0.1420157253742218, 0.08298415690660477, 0.06398864090442657, 0.08515305072069168]",0.1,47,0.8020833333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.88,0.2998259365558624,0.8799519807923168,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,3,0.8030208333333334
EEGNet,OpenBMI_MI,0,0,COMPLETE,845b6bcecd6cced7774da1328bd3fd6cd29316376e45d39d878df99ec35391cb,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0.74,0.5960151553153992,0.7390606182256123,C,100,two_d_gain,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0]","[0.08678396046161652, 0.06507577747106552, 0.0855964943766594, 0.14887495338916779, 0.2552368938922882, 0.06405086815357208, 0.021699298173189163, 0.02124631591141224, 0.06309627741575241, 0.14775733649730682, 0.08414062857627869, 0.02102550119161606, 0.02112322300672531, 0.08476646989583969, 0.1475221812725067, 0.06319492310285568, 0.021326661109924316, 0.02176213264465332, 0.06472990661859512, 0.25477588176727295, 0.14879658818244934, 0.08573346585035324, 0.06512957066297531, 0.08722226321697235]",0.02,5,0.8030208333333334
