comparison,task,target,feature_family,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,b0_top1_probability,-0.05624187546603303,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,b0_margin,-0.05624210824923366,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,b0_entropy,0.15134620129144394,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,b0_logit_l2_norm,0.07035105956309887,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,candidate_top1_probability,-0.09478890136355692,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,candidate_margin,-0.0947894315288907,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,candidate_entropy,-0.4119250424601382,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,candidate_logit_l2_norm,0.08263216591848396,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,top1_probability_difference,-0.029704921212154144,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,margin_difference,-0.029705139412476465,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,entropy_difference,-0.3902527662642167,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,probability_L1_distance,-0.11587269300442689,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,0,seed0,JS_divergence,0.07348683156829114,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,b0_top1_probability,0.0008341786390002987,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,b0_margin,0.0008334244960052401,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,b0_entropy,0.2100472318731753,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,b0_logit_l2_norm,0.08035756858090652,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,candidate_top1_probability,-0.046663503861118706,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,candidate_margin,-0.046663753285036885,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,candidate_entropy,-0.3988577448554329,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,candidate_logit_l2_norm,-0.06232123113987955,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,top1_probability_difference,-0.033347110741632886,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,margin_difference,-0.033346801878523145,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,entropy_difference,-0.42077254205160836,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,probability_L1_distance,-0.03578629403310076,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,1,seed0,JS_divergence,-0.0014085907621052707,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,b0_top1_probability,0.0058727732553676935,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,b0_margin,0.005872650441763791,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,b0_entropy,0.3140530156113806,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,b0_logit_l2_norm,0.21479690259977244,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,candidate_top1_probability,-0.03295684357622481,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,candidate_margin,-0.03295711464672018,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,candidate_entropy,-0.302445871673667,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,candidate_logit_l2_norm,0.060213284682181824,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,top1_probability_difference,-0.027206030549592246,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,margin_difference,-0.027206146668526828,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,entropy_difference,-0.40550710418513036,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,probability_L1_distance,-0.022027185072768372,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,2,seed0,JS_divergence,-0.1521484286251839,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_top1_probability,-0.02852547780151074,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_margin,-0.028525679713308702,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_entropy,0.370100432402909,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,b0_logit_l2_norm,0.07739932670704265,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_top1_probability,-0.024626934563832192,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_margin,-0.02462738403185632,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_entropy,-0.09263868518713034,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,candidate_logit_l2_norm,0.06373051531068637,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,top1_probability_difference,0.0011735283514502132,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,margin_difference,0.0011733450107308876,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,entropy_difference,-0.28642810692743537,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,probability_L1_distance,-0.03977435905386858,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,3,seed0,JS_divergence,0.2253162959233547,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_top1_probability,-0.04016215313260646,-0.023644510901156445,0.026327291658903646,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_margin,-0.04016238319474302,-0.02364481924390327,0.026327249219010883,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_entropy,0.3203579272422126,0.27318096168422434,0.2731809616842243,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,b0_logit_l2_norm,0.14442317523553597,0.1174656065372713,0.11746560653727127,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_top1_probability,-0.01824170160162411,-0.04345557699327135,0.04345557699327134,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_margin,-0.01824204734564403,-0.04345594616762962,0.04345594616762963,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_entropy,-0.05345898511524802,-0.25186526585832325,0.2518652658583233,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,candidate_logit_l2_norm,0.3148034390232393,0.09181163475894238,0.1167401272148942,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,top1_probability_difference,0.012812820362109121,-0.015254342757963987,0.020848882243387722,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,margin_difference,0.012812724017297245,-0.01525440378629966,0.020848831397510915,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,entropy_difference,-0.22527394878223145,-0.3456468936421245,0.3456468936421245,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,probability_L1_distance,-0.042880536210516976,-0.05126821347493632,0.05126821347493632,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F0,4,seed0,JS_divergence,0.02276995953698003,0.03360321352826733,0.09502602128318301,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_top1_probability,-0.06594353705646976,-0.0491067447707349,0.0491067447707349,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_margin,-0.06594396784445963,-0.04910711679584823,0.04910711679584823,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_entropy,0.12418601301654685,0.18217211052276733,0.18217211052276733,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_logit_l2_norm,0.021893241261593362,0.05716006171646741,0.06194253455262786,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_top1_probability,-0.033350342061357355,0.0007362296222452449,0.018523852256490857,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_margin,-0.03335056869521909,0.0007360571352047118,0.018523795677961453,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_entropy,-0.004526342403709853,0.09042999400456328,0.1103043758850865,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_logit_l2_norm,0.52840963363401,0.554882680080095,0.554882680080095,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,top1_probability_difference,0.018907586340684825,0.03182557139408807,0.03182557139408807,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,margin_difference,0.018907703789730442,0.031825688490381754,0.031825688490381754,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,entropy_difference,-0.07472998149615306,-0.038008509523200965,0.066577434550448,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,probability_L1_distance,-0.07436606349927274,-0.03461675141144712,0.041510449261939794,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,JS_divergence,-0.08590409937235016,-0.15252952761947233,0.1600352943493965,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_centered_logit_0,0.2294235548234504,0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,b0_centered_logit_1,-0.2294235548234504,-0.2483949340235858,0.2483949340235858,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_centered_logit_0,-0.22175062458718084,-0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,candidate_centered_logit_1,0.22175062458718084,0.21649724946737087,0.21649724946737087,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,F1,0,seed0,delta_centered_logit_0,-0.2558289950387955,-0.26159834757389905,0.26159834757389905,1.0
