pool,method_id,subject_id,trials,balanced_accuracy,accuracy,macro_f1,reference_balanced_accuracy,reference_accuracy,reference_macro_f1,delta_BA_vs_B6,delta_accuracy_vs_B6,delta_macro_f1_vs_B6,OUTER_TEST_USED
exploration,B6_ALL_RUN_LOGIT_MEAN,10,200,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,11,200,0.76,0.76,0.7597838054248824,0.76,0.76,0.7597838054248824,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,12,200,0.835,0.835,0.8349628666449951,0.835,0.835,0.8349628666449951,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,13,200,0.71,0.71,0.705762987012987,0.71,0.71,0.705762987012987,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,15,200,0.9099999999999999,0.91,0.9097744360902256,0.9099999999999999,0.91,0.9097744360902256,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,16,200,0.885,0.885,0.8849741191768148,0.885,0.885,0.8849741191768148,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,18,200,0.9099999999999999,0.91,0.9094202898550725,0.9099999999999999,0.91,0.9094202898550725,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,19,200,0.85,0.85,0.8487750781328763,0.85,0.85,0.8487750781328763,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,2,200,0.825,0.825,0.8249956248906223,0.825,0.825,0.8249956248906223,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,20,200,0.8999999999999999,0.9,0.899749373433584,0.8999999999999999,0.9,0.899749373433584,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,23,200,0.91,0.91,0.9099639855942376,0.91,0.91,0.9099639855942376,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,24,200,0.69,0.69,0.6807743795695603,0.69,0.69,0.6807743795695603,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,25,200,0.875,0.875,0.8744696342045141,0.875,0.875,0.8744696342045141,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,26,200,0.85,0.85,0.85,0.85,0.85,0.85,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,27,200,0.895,0.895,0.8949343339587242,0.895,0.895,0.8949343339587242,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,29,200,0.915,0.915,0.9145191703331239,0.915,0.915,0.9145191703331239,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,3,200,0.925,0.925,0.9249530956848031,0.925,0.925,0.9249530956848031,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,30,200,0.83,0.83,0.8299829982998299,0.83,0.83,0.8299829982998299,0.0,0.0,0.0,False
exploration,B6_ALL_RUN_LOGIT_MEAN,31,200,0.8600000000000001,0.86,0.8593106220480353,0.8600000000000001,0.86,0.8593106220480353,0.0,0.0,0.0,False
