pool,method_id,subjects,mean_subject_BA,mean_subject_accuracy,mean_subject_macro_f1,mean_subject_delta_BA_vs_B6,median_subject_delta_BA_vs_B6,bootstrap_CI95_L,bootstrap_CI95_U,positive_subject_fraction,nonnegative_subject_fraction,worst_subject_delta_BA_vs_B6,OUTER_TEST_USED
exploration,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,40,0.8785000000000001,0.8785000000000001,0.8774157835785591,0.03424999999999999,0.030000000000000027,0.026999999999999996,0.042003124999999954,0.975,1.0,0.0,False
exploration,ORACLE_ACTION_FULL_GLOBAL,40,0.931,0.931,0.9306335980648919,0.08675,0.07250000000000001,0.06949999999999998,0.10487499999999997,0.975,1.0,0.0,False
exploration,ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,40,0.8945000000000001,0.8945000000000001,0.8938286925826399,0.050249999999999996,0.04249999999999998,0.04075,0.06037499999999999,0.975,1.0,0.0,False
exploration,ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,40,0.9170000000000001,0.9170000000000001,0.9166094951749848,0.07275000000000001,0.0625,0.057999999999999996,0.088375,0.975,1.0,0.0,False
holdout,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,12,0.8929166666666667,0.8929166666666667,0.8922900425054306,0.039166666666666655,0.044999999999999984,0.024999999999999977,0.05375,0.9166666666666666,1.0,0.0,False
holdout,ORACLE_ACTION_FULL_GLOBAL,12,0.9370833333333333,0.9370833333333333,0.9367244168142785,0.08333333333333331,0.09999999999999987,0.05458333333333332,0.11124999999999996,1.0,1.0,0.010000000000000009,False
holdout,ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,12,0.9020833333333332,0.9020833333333332,0.9014573716666013,0.04833333333333332,0.05249999999999999,0.03416666666666667,0.06208333333333333,1.0,1.0,0.010000000000000009,False
holdout,ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,12,0.9225,0.9225000000000002,0.9219695303709151,0.06874999999999999,0.08500000000000002,0.04666666666666667,0.09000000000000001,1.0,1.0,0.010000000000000009,False
all_52_exploratory,ORACLE_ACTION_PROTECTED_SAFE_GLOBAL,52,0.881826923076923,0.881826923076923,0.8808483048693756,0.035384615384615375,0.030000000000000027,0.028942307692307673,0.04221394230769228,0.9615384615384616,1.0,0.0,False
all_52_exploratory,ORACLE_ACTION_FULL_GLOBAL,52,0.932403846153846,0.932403846153846,0.9320391716224427,0.08596153846153842,0.07750000000000001,0.07124999999999998,0.10144230769230768,0.9807692307692307,1.0,0.0,False
all_52_exploratory,ORACLE_ACTION_PROTECTED_SAFE_SINGLE_REPLACEMENT,52,0.8962500000000001,0.8962500000000001,0.895589156986631,0.04980769230769232,0.04499999999999993,0.04182692307692305,0.05836538461538461,0.9807692307692307,1.0,0.0,False
all_52_exploratory,ORACLE_ACTION_FULL_SINGLE_REPLACEMENT,52,0.9182692307692307,0.9182692307692307,0.9178464263740457,0.07182692307692307,0.06499999999999995,0.05942307692307692,0.08490384615384614,0.9807692307692307,1.0,0.0,False
