fold,seed,action_left,action_right,left_rescues,right_rescues,overlap_rescues,left_unique_rescues,right_unique_rescues,pair_oracle_BA,pair_oracle_headroom,outer_test_used
0,0,erase,amplify,440,176,0,440,176,0.9255882352941176,0.09058823529411764,False
0,0,erase,geometry,440,290,17,423,273,0.9398529411764706,0.1048529411764706,False
0,0,amplify,geometry,176,290,162,14,128,0.8797058823529411,0.04470588235294115,False
0,1,erase,amplify,472,156,0,472,156,0.924264705882353,0.09235294117647064,False
0,1,erase,geometry,472,275,9,463,266,0.9404411764705882,0.10852941176470587,False
0,1,amplify,geometry,156,275,148,8,127,0.8735294117647059,0.04161764705882354,False
1,0,erase,amplify,469,177,0,469,177,0.9323529411764706,0.09499999999999997,False
1,0,erase,geometry,469,287,25,444,262,0.9448529411764706,0.10749999999999993,False
1,0,amplify,geometry,177,287,149,28,138,0.8836764705882354,0.04632352941176476,False
1,1,erase,amplify,488,223,0,488,223,0.9229411764705883,0.10455882352941182,False
1,1,erase,geometry,488,379,26,462,353,0.9420588235294118,0.12367647058823539,False
1,1,amplify,geometry,223,379,195,28,184,0.878235294117647,0.05985294117647055,False
2,0,erase,amplify,575,192,0,575,192,0.9179411764705883,0.11279411764705882,False
2,0,erase,geometry,575,332,37,538,295,0.9330882352941177,0.12794117647058822,False
2,0,amplify,geometry,192,332,157,35,175,0.8591176470588235,0.053970588235294104,False
2,1,erase,amplify,454,257,0,454,257,0.9377941176470588,0.1045588235294117,False
2,1,erase,geometry,454,371,32,422,339,0.9498529411764707,0.1166176470588236,False
2,1,amplify,geometry,257,371,213,44,158,0.894264705882353,0.06102941176470589,False
