fold,seed,action,n,BA,delta_BA_vs_KEEP,rescue_count,rescue_prevalence,harm_count,harm_prevalence,net_rescues,pair_oracle_BA,pair_oracle_headroom,pair_union_correct,outer_test_used
0,0,keep,6800,0.835,0.0,0,0.0,0,0.0,0,0.835,0.0,5678,False
0,0,erase,6800,0.6238235294117647,-0.2111764705882353,440,0.06470588235294118,1876,0.27588235294117647,-1436,0.8997058823529411,0.06470588235294117,6118,False
0,0,amplify,6800,0.8254411764705882,-0.00955882352941173,176,0.02588235294117647,241,0.03544117647058823,-65,0.8608823529411764,0.025882352941176467,5854,False
0,0,geometry,6800,0.8067647058823529,-0.028235294117647025,290,0.04264705882352941,482,0.07088235294117647,-192,0.8776470588235294,0.04264705882352948,5968,False
0,1,keep,6800,0.8319117647058824,0.0,0,0.0,0,0.0,0,0.8319117647058824,0.0,5657,False
0,1,erase,6800,0.64,-0.19191176470588234,472,0.06941176470588235,1777,0.26132352941176473,-1305,0.9013235294117647,0.0694117647058824,6129,False
0,1,amplify,6800,0.8272058823529411,-0.004705882352941226,156,0.022941176470588236,188,0.027647058823529413,-32,0.8548529411764706,0.022941176470588243,5813,False
0,1,geometry,6800,0.8039705882352941,-0.027941176470588247,275,0.04044117647058824,465,0.06838235294117648,-190,0.8723529411764706,0.0404411764705882,5932,False
1,0,keep,6800,0.8373529411764706,0.0,0,0.0,0,0.0,0,0.8373529411764706,0.0,5694,False
1,0,erase,6800,0.6673529411764706,-0.17000000000000004,469,0.06897058823529412,1625,0.23897058823529413,-1156,0.9063235294117646,0.068970588235294,6163,False
1,0,amplify,6800,0.8235294117647058,-0.01382352941176479,177,0.02602941176470588,271,0.03985294117647059,-94,0.8633823529411765,0.026029411764705856,5871,False
1,0,geometry,6800,0.7833823529411765,-0.053970588235294104,287,0.042205882352941176,654,0.0961764705882353,-367,0.8795588235294117,0.04220588235294109,5981,False
1,1,keep,6800,0.8183823529411764,0.0,0,0.0,0,0.0,0,0.8183823529411764,0.0,5565,False
1,1,erase,6800,0.6811764705882353,-0.13720588235294118,488,0.07176470588235294,1421,0.20897058823529413,-933,0.8901470588235294,0.07176470588235295,6053,False
1,1,amplify,6800,0.7976470588235294,-0.020735294117647074,223,0.03279411764705882,364,0.05352941176470588,-141,0.8511764705882353,0.03279411764705886,5788,False
1,1,geometry,6800,0.7376470588235294,-0.08073529411764702,379,0.055735294117647056,928,0.13647058823529412,-549,0.8741176470588236,0.055735294117647105,5944,False
2,0,keep,6800,0.8051470588235294,0.0,0,0.0,0,0.0,0,0.8051470588235294,0.0,5475,False
2,0,erase,6800,0.6517647058823529,-0.15338235294117653,575,0.08455882352941177,1618,0.23794117647058824,-1043,0.8897058823529411,0.08455882352941169,6050,False
2,0,amplify,6800,0.7866176470588235,-0.018529411764705905,192,0.02823529411764706,318,0.046764705882352944,-126,0.8333823529411765,0.028235294117647025,5667,False
2,0,geometry,6800,0.7435294117647059,-0.061617647058823555,332,0.0488235294117647,751,0.11044117647058824,-419,0.8539705882352941,0.04882352941176471,5807,False
2,1,keep,6800,0.8332352941176471,0.0,0,0.0,0,0.0,0,0.8332352941176471,0.0,5666,False
2,1,erase,6800,0.6564705882352941,-0.17676470588235293,454,0.06676470588235293,1656,0.24352941176470588,-1202,0.8999999999999999,0.06676470588235284,6120,False
2,1,amplify,6800,0.8111764705882353,-0.022058823529411797,257,0.037794117647058825,407,0.05985294117647059,-150,0.8710294117647059,0.03779411764705887,5923,False
2,1,geometry,6800,0.7489705882352942,-0.08426470588235291,371,0.054558823529411764,944,0.1388235294117647,-573,0.8877941176470587,0.05455882352941166,6037,False
