backbone,fold,subject_id,n_s1_validation,n_s2,adaptation_effect_stability,decision_stability,representation_stability,raw_delta2,certificate_se,certificate_snr,certificate_lcb90,s1_parameter_relative_change,s1_anchor_confidence,identity_I,identity_status,feature_input_sessions,s3_feature_input_accessed,seed_count
EEGConformer,0,1,60.0,200.0,-0.3901845179942165,-0.4993397719062657,-0.44619943885370694,-3.700743415417188e-17,0.010349391803751192,-0.0018102493261706136,-0.013263279268531833,0.2299306889375051,0.759051696536746,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,2,60.0,200.0,-0.4482257354635597,-0.42888139129409847,-0.3829095960215739,-0.0166666666666667,0.019574529697947204,-0.8746592275013368,-0.04175243584587021,0.36437919239203137,0.8390106610173872,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,3,60.0,200.0,-0.30236648013727147,-0.3519455244336111,-0.31752497350022757,0.006666666666666691,0.020881956841128358,0.28550031515982166,-0.020094637814716133,0.41016661127408344,0.828505749591652,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,5,60.0,200.0,-0.21835872665540723,-0.28115061215954956,-0.31862631346402065,-0.0050000000000000044,0.017459881899883952,0.0006329853309086827,-0.02737573898302011,0.11780858784914017,0.7975952494982256,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,3,6,60.0,200.0,-0.8347684980126594,-0.843765260057357,-0.9905060450737292,0.003333333333333336,0.009860850465663875,0.4968972334815794,-0.009303855018539404,0.27675671875476837,0.792477246905776,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,7,60.0,200.0,-0.33036314007403783,-0.32072904397812435,-0.6322567624328682,-0.008333333333333304,0.0168680087621104,-0.44881822861002885,-0.029950556370035922,0.2709603011608124,0.8952695660156101,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,2,9,60.0,200.0,-0.2711228544892708,-0.22476718063050546,-0.3015392285847303,-0.004999999999999986,0.017536794406426314,-0.1768112353311612,-0.027474306326189423,0.16163714230060577,0.8001560145722282,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,11,60.0,200.0,-0.33554338812894646,-0.30527610939025634,-0.28651543348470315,0.0050000000000000044,0.01698183337164631,-0.02141931046373265,-0.01676309514325086,0.3309258222579956,0.905465916925409,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,12,60.0,200.0,-0.17796895488825035,-0.1813196275892031,-0.1918429079224572,-0.0016666666666666958,0.015499639639786128,-0.055460311065291,-0.02153025411241175,0.2014748752117157,0.7389157572993041,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,13,60.0,200.0,-0.8452984971299703,-1.7357771772193473,-1.3450016400574352,-0.003333333333333327,0.02006888662899015,-0.22660646389474162,-0.029052646411452752,0.32896075894435245,0.9384414724039302,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,14,60.0,200.0,-0.23530603826558597,-0.22351670540097443,-0.341224127506663,0.013333333333333327,0.0187924461931632,0.9471029024955158,-0.01075015550592764,0.1548060178756714,0.7064087497412933,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,0,16,60.0,200.0,-0.2168091911946497,-0.17450463171337105,-0.21798097290527071,0.01833333333333334,0.023581920818956718,0.7969601375543195,-0.011888114210749446,0.21141687532265982,0.6712358213670312,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,4,17,60.0,200.0,-0.45916438391421804,-0.41749730740962415,-0.3314158112994907,-0.0016666666666666496,0.015621547651230557,-0.16551407645331195,-0.021686485515330745,0.2821781511108081,0.8167631368752021,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
EEGConformer,1,18,60.0,200.0,-0.4763144407282205,-0.5008204526550192,-0.559169383943541,-0.015000000000000013,0.016527056263007076,-1.1194342072465608,-0.03618027482770042,0.3208635325233142,0.7378754806738138,,UNAVAILABLE_NO_LEGAL_TARGET_LEVEL_FROZEN_SCORE,"S1_validation,S2",False,3
