dataset,fold,seed,method,q,lambda_T,subject_id,coverage,valid_candidates,target_distance_improvement,target_nll_improvement,class_pass_rate,median_displacement_ratio,median_relative_margin_drop
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,1,0.13,0.26,0.2589223834901251,2.173018166403156,0.0475,0.4312927573919296,-1.208396315574646
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,3,0.12,0.29,0.2406550774697422,2.05005849175608,0.06375,0.4073905348777771,-0.0547072254121303
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,5,0.2,0.33,0.2500173898588582,1.914211047119578,0.095,0.4068718552589416,0.2729682326316833
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,6,0.08,0.16,0.3521644666710319,1.9210963203827176,0.04,0.5830947458744049,-1.1832650899887085
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,7,0.16,0.29,0.2556748677750399,2.116336354063587,0.07375,0.4674212336540222,0.0318720899522304
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,8,0.07,0.22,0.5171220625349638,3.1700732636312683,0.05375,0.4997720718383789,-0.4493345916271209
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,9,0.07,0.12,0.2737681828931081,1.4816497662235388,0.03375,0.3191831707954407,-0.0568044669926166
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,10,0.13,0.3,0.3339287027607952,2.8466513795484065,0.08,0.5818712711334229,-0.2306495383381843
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,11,0.13,0.2,0.201278741823022,1.352113981320683,0.05125,0.4576811194419861,-1.0497970581054688
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,14,0.16,0.28,0.2891968769477565,1.8833359879439424,0.0725,0.575412929058075,-1.0775629878044128
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,21,0.12,0.26,0.3428695296123156,3.9337663034658794,0.065,0.4472257047891617,0.1116697192192077
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,22,0.12,0.25,0.2358542282559168,1.8246425873182108,0.0575,0.4312762320041656,-0.349403440952301
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,23,0.14,0.3,0.3144200281850144,2.926577357861193,0.07875,0.4640296995639801,0.2051881253719329
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,27,0.11,0.22,0.2210410674965967,2.092233109532551,0.0675,0.4809312224388122,-0.967854470014572
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,28,0.12,0.33,0.4423014255715669,4.723888070132606,0.08,0.5218830406665802,0.3824027329683304
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,30,0.18,0.39,0.3563841017342937,2.2662709483494305,0.0925,0.5326361060142517,-0.2753467112779617
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,31,0.1,0.26,0.276054022704456,2.003501704961969,0.05375,0.4451783001422882,-0.8561809062957764
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,34,0.17,0.44,0.3829847977149092,3.763413351857808,0.11125,0.499441534280777,-0.1693741232156753
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,35,0.02,0.02,0.675552066757755,3.588843233799036,0.0075,0.3503803461790085,-2.5970380306243896
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,40,0.1,0.22,0.2715418367016441,2.318092679401495,0.06,0.4489628225564956,-0.2707837373018265
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,43,0.15,0.28,0.2694464397572017,1.831136684437732,0.07125,0.5232658982276917,-1.281346559524536
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,44,0.18,0.46,0.2955743489603933,2.722456336855859,0.11875,0.4031249284744262,0.5482311248779297
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,48,0.1,0.22,0.2521255729669063,1.667466658585018,0.0475,0.3968723565340042,-0.1498689465224743
OpenBMI,0,0,R3-TaskProtected-Local-OT,0.5,0.5,52,0.16,0.3,0.2999491762306414,2.203611002484956,0.065,0.4564962983131408,-0.1032456047832965
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,1,0.13,0.26,0.2573112446488402,2.2966751980108278,0.03625,0.4054676592350006,-1.0673948526382446
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,3,0.12,0.29,0.2210079995244005,1.989526081446224,0.0425,0.4180569350719452,0.001108618103899
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,5,0.2,0.33,0.2183851496989197,1.5145951895841503,0.045,0.3946879208087921,0.2473106980323791
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,6,0.08,0.16,0.2678437641346596,1.7925357198199376,0.02125,0.4788390398025512,-1.157329559326172
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,7,0.16,0.29,0.2876093810740524,2.3773806434455085,0.0375,0.4909786432981491,-0.2203975664451718
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,8,0.07,0.22,0.4056035786118363,2.141321826386985,0.0275,0.4790261387825012,-0.4268778264522552
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,9,0.07,0.12,0.289629043479106,1.771173219460961,0.0175,0.3301561325788498,-0.0992194432765245
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,10,0.13,0.3,0.3323898759113485,2.799370055212321,0.0375,0.5911204814910889,-0.1990343779325485
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,11,0.13,0.2,0.1691679040733795,1.4323988516897137,0.02625,0.3902162313461303,-1.0104901790618896
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,14,0.16,0.28,0.2732436602526363,1.922444206689341,0.0375,0.5134793221950531,-0.1042845339979976
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,21,0.12,0.26,0.3900152288767736,3.3714249759643296,0.035,0.4472257047891617,-0.1004543714225292
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,22,0.12,0.25,0.2335671253691069,1.7280911223076396,0.03375,0.4116522371768951,-0.1776984930038452
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,23,0.14,0.3,0.3036784716663857,2.9474608847861448,0.04125,0.4870635867118835,0.2161949425935745
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,27,0.11,0.22,0.1718084298945448,1.8406607558681392,0.0325,0.4420727491378784,-0.8176150023937225
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,28,0.12,0.33,0.3761635592588971,3.991024430140869,0.04125,0.5088943839073181,0.3823074102401733
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,30,0.18,0.39,0.2974393873732789,1.9694008837579409,0.04875,0.4837112128734588,-0.1518233269453048
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,31,0.1,0.26,0.2284534058457951,1.8256781650566136,0.035,0.4162549972534179,-0.055780354887247
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,34,0.17,0.44,0.4124373777362999,4.32888793226223,0.055,0.5293409824371338,-0.1438540443778038
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,35,0.02,0.02,0.5097910173177778,2.99045055308793,0.0025,0.3451665192842483,-2.4354209899902344
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,40,0.1,0.22,0.2301073378654011,1.948717989071104,0.0275,0.4316829293966293,-0.1763141937553882
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,43,0.15,0.28,0.2028188556541675,1.334793071992714,0.04,0.3779401034116745,-0.7058517783880234
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,44,0.18,0.46,0.3001722552953877,3.031208964336146,0.0625,0.4076564013957977,0.5078000426292419
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,48,0.1,0.22,0.2127859214352994,1.896545031789482,0.03,0.4055863618850708,-0.0202534622512757
OpenBMI,0,0,R3-TaskProtected-Local-Random,0.5,0.5,52,0.16,0.3,0.2843865660083263,2.2494923799033115,0.04,0.4168819785118103,-0.1629590019583702
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,1,0.23,0.85,0.302454401820823,3.149003130522304,0.10625,0.4881288409233093,-1.2631906270980835
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,3,0.16,0.7,0.283186730326687,3.1865694824149986,0.0875,0.4364373385906219,0.1306182220578193
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,5,0.21,1.08,0.2185684407959965,2.572278039917819,0.135,0.3336993008852005,0.5175304412841797
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,6,0.09,0.37,0.3148470937042519,2.708624810348921,0.04625,0.5210868716239929,-0.2116278707981109
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,7,0.22,0.98,0.2752092420539436,3.738249266022747,0.1225,0.4279837906360626,0.2439278364181518
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,8,0.14,0.63,0.5890560737117602,4.694951539080264,0.07875,0.5854877829551697,0.1791572123765945
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,9,0.16,0.72,0.28760043940515,2.87847530824588,0.09,0.4594941735267639,-0.1373853608965873
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,10,0.18,1.01,0.4017631429055378,4.192075634261689,0.12625,0.5732678174972534,-0.1041909605264663
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,11,0.15,0.61,0.1984800528631939,2.623186599437263,0.07625,0.4775325357913971,-0.7883697152137756
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,14,0.29,1.29,0.2142742281312219,2.470731967567084,0.16125,0.4754266738891601,-1.065384030342102
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,21,0.18,0.9,0.390543473002603,4.90498713712094,0.1125,0.4824203103780746,0.3252217620611191
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,22,0.2,0.97,0.2004391129135834,2.698309973305259,0.12125,0.4560191929340362,-0.1673902571201324
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,23,0.22,1.23,0.2589881155958599,3.85531550734423,0.15375,0.5034573674201965,0.1856914162635803
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,27,0.14,0.69,0.2057615974035025,3.1871638752079474,0.08625,0.4133164882659912,0.0260168518871068
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,28,0.15,0.77,0.2849458624211445,4.883494270974377,0.09625,0.4242532849311828,0.1698090434074401
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,30,0.23,1.32,0.3864123638268329,4.079399621902186,0.165,0.5702342391014099,-0.1091496013104915
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,31,0.2,0.75,0.2206637952212397,2.991381313270272,0.09375,0.4575909376144409,-1.197665810585022
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,34,0.2,1.07,0.3828568407735218,5.002964764266625,0.13375,0.4796699285507202,-0.2176701873540878
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,35,0.02,0.02,0.3417659761561462,2.497837490028738,0.0025,0.420360192656517,-1.2927733063697815
OpenBMI,0,0,R1-TaskProtected-Bures,0.5,0.5,40,0.2,0.77,0.3021181122508258,3.623483242439631,0.09625,0.4641951620578766,0.1451297998428344
