task,fold,variant,baseline_parameters,trainable_parameter_delta,trainable_parameters,frozen_parameters,F0_forwards_per_trial,extra_F0_forwards_per_trial,routing_directions,model_training_steps,label
OpenBMI_MI,0,BASELINE,34162,0,0,34162,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,PCA_POSITIVE_ONLY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,SHUFFLED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,PCA_SIGNED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,RANDOM_BASIS_0,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,RANDOM_BASIS_1,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,RANDOM_BASIS_2,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,RANDOM_BASIS_3,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,0,RANDOM_BASIS_4,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,BASELINE,34162,0,0,34162,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,PCA_POSITIVE_ONLY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,SHUFFLED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,PCA_SIGNED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,RANDOM_BASIS_0,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,RANDOM_BASIS_1,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,RANDOM_BASIS_2,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,RANDOM_BASIS_3,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,1,RANDOM_BASIS_4,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,BASELINE,34162,0,0,34162,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,PCA_POSITIVE_ONLY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,SHUFFLED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,PCA_SIGNED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,RANDOM_BASIS_0,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,RANDOM_BASIS_1,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,RANDOM_BASIS_2,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,RANDOM_BASIS_3,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,2,RANDOM_BASIS_4,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,BASELINE,34162,0,0,34162,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,PCA_POSITIVE_ONLY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,SHUFFLED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,PCA_SIGNED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,RANDOM_BASIS_0,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,RANDOM_BASIS_1,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,RANDOM_BASIS_2,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,RANDOM_BASIS_3,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,3,RANDOM_BASIS_4,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,BASELINE,34162,0,0,34162,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,PCA_POSITIVE_ONLY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,SHUFFLED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,PCA_SIGNED_UTILITY_ROUTING,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,RANDOM_BASIS_0,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,RANDOM_BASIS_1,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,RANDOM_BASIS_2,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,RANDOM_BASIS_3,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,RANDOM_BASIS_4,34162,0,0,34162,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,0,BASELINE,9586,0,0,9586,1,0,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,0,PCA_POSITIVE_ONLY_ROUTING,9586,0,0,9586,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,0,SHUFFLED_UTILITY_ROUTING,9586,0,0,9586,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,0,PCA_SIGNED_UTILITY_ROUTING,9586,0,0,9586,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_ERP,0,RANDOM_BASIS_0,9586,0,0,9586,2,1,16,0,POST_HELDOUT_DEVELOPMENT_EVALUATION
