task,fold,C_basis_sha256,K_C,explained_variance_fraction,fit_subject_count,fit_trial_count,reconstruction_error
OpenBMI_MI,0,952923267f11d83444e313d85eb1c840ac34e65efb516e8dac7478edd7423091,16,"[0.026401473209261894, 0.018361855298280716, 0.017153633758425713, 0.017035244032740593, 0.015114889480173588, 0.014103016816079617, 0.012551923282444477, 0.01194064412266016, 0.011765217408537865, 0.011047081090509892, 0.010436170734465122, 0.009990094229578972, 0.009666109457612038, 0.008829996921122074, 0.00867402646690607, 0.008343232795596123]",40,8000,1.9073486328125e-06
OpenBMI_MI,1,52a3a60f7de52f00548a070eca8d87b4592ead2b4273e58edf3c39a4256c6c28,16,"[0.02764013223350048, 0.018284235149621964, 0.015923116356134415, 0.014423074200749397, 0.013792215846478939, 0.012613771483302116, 0.011471308767795563, 0.011102991178631783, 0.010298235341906548, 0.010088046081364155, 0.01002708449959755, 0.009029467590153217, 0.008802879601716995, 0.008478169329464436, 0.00840653944760561, 0.007975662127137184]",40,8000,1.9073486328125e-06
OpenBMI_MI,2,14b73fa40de467db45cc2fedd218fda43230147bc03b6997a79796bf36d52ddc,16,"[0.02658732794225216, 0.02054266817867756, 0.018478041514754295, 0.016130909323692322, 0.014876123517751694, 0.013323317281901836, 0.01256923470646143, 0.01217582542449236, 0.011724499985575676, 0.010521129705011845, 0.010231206193566322, 0.009978017769753933, 0.009756989777088165, 0.009198538959026337, 0.008669024333357811, 0.008541052229702473]",40,8000,1.9073486328125e-06
OpenBMI_MI,3,96c4ed85d2611f745a7c468bbd788024e8c397e99b92acc5a26eb5f738ab772a,16,"[0.029400398954749107, 0.018597548827528954, 0.017187578603625298, 0.01629217155277729, 0.014227140694856644, 0.013430945575237274, 0.012467305175960064, 0.012157621793448925, 0.011400682851672173, 0.010504625737667084, 0.010135290212929249, 0.009502998553216457, 0.008753207512199879, 0.008371000178158283, 0.008233271539211273, 0.007730616256594658]",40,8000,1.9073486328125e-06
OpenBMI_MI,4,ab2f4267a142cffa8abd92f12ee060af24ef602d070609545fb28a8857f66edf,16,"[0.030176203697919846, 0.020154545083642006, 0.0185075830668211, 0.017464803531765938, 0.01560553815215826, 0.01470392569899559, 0.012898779474198818, 0.011643110774457455, 0.01144885178655386, 0.011055911891162395, 0.010136487893760204, 0.009971248917281628, 0.009251345880329609, 0.009025759994983673, 0.008216424845159054, 0.008161491714417934]",40,8000,1.9073486328125e-06
OpenBMI_ERP,0,7ecf657c175256fdf13ce94704f69aeaced1b2bf0e7d978b411608d20a65417a,16,"[0.0873560756444931, 0.05457751452922821, 0.02766341157257557, 0.020170781761407852, 0.019028859212994576, 0.017309041693806648, 0.016890348866581917, 0.015972357243299484, 0.014782097190618515, 0.013904551975429058, 0.013357098214328289, 0.012976355850696564, 0.012592129409313202, 0.012218436226248741, 0.011644931510090828, 0.011429116129875183]",40,158400,1.9073486328125e-06
OpenBMI_ERP,1,83909d5b6c5651a02dbe70fbebbbe99f8c8f25f84d13d573fe0c7597ace760cb,16,"[0.05780235677957535, 0.03756380453705788, 0.02766120620071888, 0.024925891309976578, 0.021969815716147423, 0.019173910841345787, 0.018591269850730896, 0.017479876056313515, 0.016831180080771446, 0.015328203327953815, 0.015116562135517597, 0.014048976823687553, 0.01358503382652998, 0.012887896038591862, 0.012512026354670525, 0.011996740475296974]",40,158400,3.814697265625e-06
OpenBMI_ERP,2,c322b161e94ee78034ebc0ec13018683501334199b474d1ca30afdc7683e7478,16,"[0.05996336042881012, 0.040592774748802185, 0.025638867169618607, 0.01941523142158985, 0.018311260268092155, 0.01730438321828842, 0.015762360766530037, 0.0150109538808465, 0.014621667563915253, 0.013984590768814087, 0.01363155897706747, 0.01309229340404272, 0.012652412056922913, 0.012451141141355038, 0.011538289487361908, 0.011064480058848858]",40,158400,3.814697265625e-06
OpenBMI_ERP,3,a55c8a8409c91b2cfe67264a10dc15d8bd86fba31da32a8d3480cc24457d41c9,16,"[0.07523061335086823, 0.05039651319384575, 0.028002729639410973, 0.01990901306271553, 0.01904486119747162, 0.01700717583298683, 0.016676316037774086, 0.015222596004605293, 0.014492928981781006, 0.013675540685653687, 0.013118362985551357, 0.012610013596713543, 0.01233486644923687, 0.011990191414952278, 0.011600624769926071, 0.011211811564862728]",40,158400,3.814697265625e-06
OpenBMI_ERP,4,25513974afbfe1edb1727921e827558675bd8f7d12e0ef4216d052c367779e2d,16,"[0.06896352022886276, 0.046403270214796066, 0.027196289971470833, 0.01928974688053131, 0.018020525574684143, 0.017665496096014977, 0.016003884375095367, 0.01507520116865635, 0.014688191935420036, 0.013729220256209373, 0.013096313923597336, 0.012668168172240257, 0.012336712330579758, 0.011477326974272728, 0.011170647107064724, 0.010844280943274498]",40,158400,3.814697265625e-06
OpenBMI_SSVEP,0,b51ee1e8c8d016df4ade9c3ebc895eac3871d82d0ed82b5fb08efc571eb20ed3,16,"[0.04595837742090225, 0.042266055941581726, 0.03832102194428444, 0.02714528515934944, 0.02256377600133419, 0.016117461025714874, 0.01570155844092369, 0.014128418639302254, 0.013014707714319229, 0.01239005010575056, 0.01120566762983799, 0.010603056289255619, 0.009648206643760204, 0.00821178499609232, 0.007769618649035692, 0.00717413704842329]",40,8000,3.814697265625e-06
OpenBMI_SSVEP,1,2cca42fe62df4b64a7e77aeb123d37ff89828f37d13619208b01192a9be088d5,16,"[0.044363152235746384, 0.040458351373672485, 0.03341074660420418, 0.02396702766418457, 0.020035147666931152, 0.01537184976041317, 0.014828219078481197, 0.0136727811768651, 0.013223400339484215, 0.012309509329497814, 0.011849467642605305, 0.011147214099764824, 0.009997190907597542, 0.008019722066819668, 0.007293734699487686, 0.007007356733083725]",40,8000,1.9073486328125e-06
