task,subject,session,variant,BA,macro_F1,NLL,trials,label
OpenBMI_MI,4,S1,BASELINE,0.71,0.7064480210547626,0.6134390830993652,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,PCA_POSITIVE_ONLY_ROUTING,0.71,0.7064480210547626,0.6170478463172913,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,SHUFFLED_UTILITY_ROUTING,0.71,0.7064480210547626,0.611842930316925,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,PCA_SIGNED_UTILITY_ROUTING,0.71,0.7064480210547626,0.6173989772796631,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,RANDOM_BASIS_0,0.71,0.7064480210547626,0.6136292815208435,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,RANDOM_BASIS_1,0.71,0.7064480210547626,0.6132845878601074,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,RANDOM_BASIS_2,0.71,0.7064480210547626,0.6133648157119751,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,RANDOM_BASIS_3,0.71,0.7064480210547626,0.6132088303565979,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,4,S1,RANDOM_BASIS_4,0.71,0.7064480210547626,0.6134924292564392,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,BASELINE,0.79,0.78997899789979,0.4288530647754669,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,PCA_POSITIVE_ONLY_ROUTING,0.78,0.78,0.4356619715690613,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,SHUFFLED_UTILITY_ROUTING,0.8,0.7999199679871949,0.42715349793434143,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,PCA_SIGNED_UTILITY_ROUTING,0.78,0.78,0.43553513288497925,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,RANDOM_BASIS_0,0.79,0.78997899789979,0.4287600815296173,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,RANDOM_BASIS_1,0.79,0.78997899789979,0.42895829677581787,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,RANDOM_BASIS_2,0.79,0.78997899789979,0.4288031756877899,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,RANDOM_BASIS_3,0.79,0.78997899789979,0.4289195239543915,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,12,S1,RANDOM_BASIS_4,0.79,0.78997899789979,0.42879652976989746,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,BASELINE,0.72,0.7189883580891208,0.5729124546051025,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,PCA_POSITIVE_ONLY_ROUTING,0.74,0.7383252818035426,0.5736463069915771,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,SHUFFLED_UTILITY_ROUTING,0.72,0.7189883580891208,0.572245180606842,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,PCA_SIGNED_UTILITY_ROUTING,0.74,0.7383252818035426,0.5736760497093201,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,RANDOM_BASIS_0,0.72,0.7189883580891208,0.5729097723960876,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,RANDOM_BASIS_1,0.72,0.7189883580891208,0.5731726288795471,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,RANDOM_BASIS_2,0.72,0.7189883580891208,0.5731281042098999,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,RANDOM_BASIS_3,0.72,0.7189883580891208,0.5727226138114929,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,13,S1,RANDOM_BASIS_4,0.72,0.7189883580891208,0.57310551404953,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,BASELINE,0.77,0.769792813532179,0.46122023463249207,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,PCA_POSITIVE_ONLY_ROUTING,0.77,0.769792813532179,0.459415465593338,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,SHUFFLED_UTILITY_ROUTING,0.77,0.769792813532179,0.4614471197128296,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,PCA_SIGNED_UTILITY_ROUTING,0.77,0.769792813532179,0.45939645171165466,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_0,0.77,0.769792813532179,0.46109718084335327,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_1,0.77,0.769792813532179,0.46103614568710327,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_2,0.77,0.769792813532179,0.4613293707370758,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_3,0.77,0.769792813532179,0.4613335132598877,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,17,S1,RANDOM_BASIS_4,0.77,0.769792813532179,0.46135666966438293,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,BASELINE,0.65,0.6496847162446202,0.6491414904594421,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,PCA_POSITIVE_ONLY_ROUTING,0.65,0.6496847162446202,0.6523804664611816,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,SHUFFLED_UTILITY_ROUTING,0.6499999999999999,0.6491228070175439,0.6498479247093201,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
OpenBMI_MI,18,S1,PCA_SIGNED_UTILITY_ROUTING,0.65,0.6496847162446202,0.652492344379425,100,POST_HELDOUT_DEVELOPMENT_EVALUATION
