task,dataset,fold,seed,subject_id,BA,macro_F1,accuracy,trials
OpenBMI_MI,OpenBMI,0,0,4,0.54,0.5166036149642708,0.54,100
OpenBMI_MI,OpenBMI,0,0,12,0.47000000000000003,0.4052294916395466,0.47,100
OpenBMI_MI,OpenBMI,0,0,13,0.52,0.4725274725274725,0.52,100
OpenBMI_MI,OpenBMI,0,0,17,0.44,0.3923611111111111,0.44,100
OpenBMI_MI,OpenBMI,0,0,18,0.5,0.46374946374946374,0.5,100
OpenBMI_MI,OpenBMI,0,0,24,0.48,0.3686255463817387,0.48,100
OpenBMI_MI,OpenBMI,0,0,25,0.47,0.396011396011396,0.47,100
OpenBMI_MI,OpenBMI,0,0,29,0.45999999999999996,0.4269949066213922,0.46,100
OpenBMI_MI,OpenBMI,0,0,36,0.49,0.3743099006256901,0.49,100
OpenBMI_MI,OpenBMI,0,0,37,0.46,0.39839572192513373,0.46,100
OpenBMI_MI,OpenBMI,0,0,39,0.51,0.45011783189316573,0.51,100
OpenBMI_MI,OpenBMI,0,0,42,0.55,0.5248653785239151,0.55,100
OpenBMI_MI,OpenBMI,0,0,51,0.51,0.45790463546852533,0.51,100
OpenBMI_MI,OpenBMI,0,0,54,0.49,0.40910670837678137,0.49,100
OpenBMI_MI,OpenBMI,1,0,4,0.6499999999999999,0.6482765551200884,0.65,100
OpenBMI_MI,OpenBMI,1,0,12,0.48,0.46960424316605465,0.48,100
OpenBMI_MI,OpenBMI,1,0,13,0.55,0.5477841422972565,0.55,100
OpenBMI_MI,OpenBMI,1,0,17,0.47,0.46994699469946993,0.47,100
OpenBMI_MI,OpenBMI,1,0,18,0.54,0.54,0.54,100
OpenBMI_MI,OpenBMI,1,0,24,0.5,0.4900040799673603,0.5,100
OpenBMI_MI,OpenBMI,1,0,25,0.5700000000000001,0.557203171661003,0.57,100
OpenBMI_MI,OpenBMI,1,0,29,0.52,0.52,0.52,100
OpenBMI_MI,OpenBMI,1,0,36,0.52,0.5039272426622571,0.52,100
OpenBMI_MI,OpenBMI,1,0,37,0.53,0.5288220551378446,0.53,100
OpenBMI_MI,OpenBMI,1,0,39,0.51,0.5015766453056658,0.51,100
OpenBMI_MI,OpenBMI,1,0,42,0.54,0.5398159263705482,0.54,100
OpenBMI_MI,OpenBMI,1,0,51,0.53,0.5261619114830124,0.53,100
OpenBMI_MI,OpenBMI,1,0,54,0.49,0.48748869460355737,0.49,100
OpenBMI_MI,OpenBMI,2,0,4,0.5700000000000001,0.568922305764411,0.57,100
OpenBMI_MI,OpenBMI,2,0,12,0.48,0.4422994422994423,0.48,100
OpenBMI_MI,OpenBMI,2,0,13,0.54,0.5208333333333334,0.54,100
OpenBMI_MI,OpenBMI,2,0,17,0.5,0.4900040799673603,0.5,100
OpenBMI_MI,OpenBMI,2,0,18,0.51,0.5015766453056658,0.51,100
OpenBMI_MI,OpenBMI,2,0,24,0.44,0.41666666666666663,0.44,100
OpenBMI_MI,OpenBMI,2,0,25,0.59,0.5523528769516323,0.59,100
OpenBMI_MI,OpenBMI,2,0,29,0.41000000000000003,0.4085213032581454,0.41,100
OpenBMI_MI,OpenBMI,2,0,36,0.47000000000000003,0.4136519526496294,0.47,100
OpenBMI_MI,OpenBMI,2,0,37,0.55,0.5444883085332524,0.55,100
OpenBMI_MI,OpenBMI,2,0,39,0.49,0.47482236638863146,0.49,100
OpenBMI_MI,OpenBMI,2,0,42,0.55,0.5477841422972565,0.55,100
OpenBMI_MI,OpenBMI,2,0,51,0.5700000000000001,0.5647332725984411,0.57,100
OpenBMI_MI,OpenBMI,2,0,54,0.47000000000000003,0.44554869756250653,0.47,100
OpenBMI_MI,OpenBMI,3,0,4,0.6,0.5998399359743898,0.6,100
OpenBMI_MI,OpenBMI,3,0,12,0.56,0.5571658615136876,0.56,100
OpenBMI_MI,OpenBMI,3,0,13,0.55,0.54995499549955,0.55,100
OpenBMI_MI,OpenBMI,3,0,17,0.54,0.54,0.54,100
OpenBMI_MI,OpenBMI,3,0,18,0.33,0.3283208020050125,0.33,100
OpenBMI_MI,OpenBMI,3,0,24,0.5,0.49979991996798717,0.5,100
OpenBMI_MI,OpenBMI,3,0,25,0.69,0.6899689968996899,0.69,100
OpenBMI_MI,OpenBMI,3,0,29,0.56,0.56,0.56,100
OpenBMI_MI,OpenBMI,3,0,36,0.51,0.50995099509951,0.51,100
OpenBMI_MI,OpenBMI,3,0,37,0.5900000000000001,0.5866518802298619,0.59,100
OpenBMI_MI,OpenBMI,3,0,39,0.52,0.5182657567242072,0.52,100
OpenBMI_MI,OpenBMI,3,0,42,0.49,0.4858352656517794,0.49,100
OpenBMI_MI,OpenBMI,3,0,51,0.5800000000000001,0.5798319327731092,0.58,100
OpenBMI_MI,OpenBMI,3,0,54,0.5700000000000001,0.568922305764411,0.57,100
OpenBMI_MI,OpenBMI,4,0,4,0.64,0.6216897856242118,0.64,100
OpenBMI_MI,OpenBMI,4,0,12,0.53,0.5261619114830124,0.53,100
OpenBMI_MI,OpenBMI,4,0,13,0.5800000000000001,0.5772946859903382,0.58,100
OpenBMI_MI,OpenBMI,4,0,17,0.48,0.4797919167667067,0.48,100
OpenBMI_MI,OpenBMI,4,0,18,0.61,0.6096486838154338,0.61,100
OpenBMI_MI,OpenBMI,4,0,24,0.52,0.5198079231692677,0.52,100
OpenBMI_MI,OpenBMI,4,0,25,0.55,0.5495946351716545,0.55,100
OpenBMI_MI,OpenBMI,4,0,29,0.5,0.46943972835314096,0.5,100
OpenBMI_MI,OpenBMI,4,0,36,0.56,0.5592948717948718,0.56,100
OpenBMI_MI,OpenBMI,4,0,37,0.56,0.5592948717948718,0.56,100
OpenBMI_MI,OpenBMI,4,0,39,0.52,0.5169082125603865,0.52,100
OpenBMI_MI,OpenBMI,4,0,42,0.53,0.5276856597326902,0.53,100
OpenBMI_MI,OpenBMI,4,0,51,0.52,0.5169082125603865,0.52,100
OpenBMI_MI,OpenBMI,4,0,54,0.48,0.4797919167667067,0.48,100
