task,effect,metric,n_subjects,mean,CI95_low,CI95_high,unit,bootstrap_draws
OpenBMI_MI,B1_minus_Full,protected_only_WSBA,14,-0.04471428571428569,-0.06185714285714283,-0.026714285714285715,proportion,20000
OpenBMI_MI,B1_minus_Full,complement_retained_WSBA,14,0.020000000000000014,0.0011428571428571518,0.04614285714285716,proportion,20000
OpenBMI_MI,B1_minus_Full,intact_probe_WSBA,14,-0.027428571428571438,-0.04842857142857143,-0.004428571428571425,proportion,20000
OpenBMI_MI,B1_minus_Full,full_model_WSBA,14,-0.03457142857142858,-0.05614285714285712,-0.011285714285714319,proportion,20000
OpenBMI_MI,B1_minus_Full,PEEH_pp,14,-2.933857142857142,-4.877292857142853,-0.9459999999999993,pp,20000
OpenBMI_MI,B1_minus_Full,PSWA_pp,14,-0.47185714285714064,-1.7697214285714271,0.8384857142857117,pp,20000
OpenBMI_ERP,B1_minus_Full,protected_only_WSBA,14,0.002783457900498522,-0.005909288720174109,0.011346230760345384,proportion,20000
OpenBMI_ERP,B1_minus_Full,complement_retained_WSBA,14,0.0054978643753659006,-0.0027143643399252823,0.0138268405487781,proportion,20000
OpenBMI_ERP,B1_minus_Full,intact_probe_WSBA,14,0.004718612093384692,-0.0025066044224624825,0.01197846057823315,proportion,20000
OpenBMI_ERP,B1_minus_Full,full_model_WSBA,14,0.00383132897020099,-7.776594236572502e-05,0.007675484814356839,proportion,20000
OpenBMI_ERP,B1_minus_Full,PEEH_pp,14,1.6808961038960992,0.6633929653679631,2.758118181818173,pp,20000
OpenBMI_ERP,B1_minus_Full,PSWA_pp,14,1.9933801805633202,0.8037530110075891,3.188379187241903,pp,20000
OpenBMI_SSVEP,B1_minus_Full,protected_only_WSBA,14,-0.00528571428571431,-0.013285714285714293,0.0032857142857142647,proportion,20000
OpenBMI_SSVEP,B1_minus_Full,complement_retained_WSBA,14,-0.0097142857142857,-0.02599999999999996,0.006857142857142863,proportion,20000
OpenBMI_SSVEP,B1_minus_Full,intact_probe_WSBA,14,-0.006428571428571418,-0.01157142857142855,-0.0017142857142857157,proportion,20000
OpenBMI_SSVEP,B1_minus_Full,full_model_WSBA,14,-0.0028571428571428597,-0.01285714285714283,0.007571428571428547,proportion,20000
OpenBMI_SSVEP,B1_minus_Full,PEEH_pp,14,0.1818571428571449,-1.360607142857143,1.6555857142857122,pp,20000
OpenBMI_SSVEP,B1_minus_Full,PSWA_pp,14,0.46085714285714197,-0.6762964285714328,1.6571535714285732,pp,20000
WBCIC_MI,B1_minus_Full,protected_only_WSBA,10,-0.005199999999999966,-0.01759999999999994,0.006300000000000023,proportion,20000
WBCIC_MI,B1_minus_Full,complement_retained_WSBA,10,-0.00909999999999997,-0.022699999999999915,0.007000000000000039,proportion,20000
WBCIC_MI,B1_minus_Full,intact_probe_WSBA,10,-0.012499999999999989,-0.026700000000000036,0.00030000000000004497,proportion,20000
WBCIC_MI,B1_minus_Full,full_model_WSBA,10,-0.016099999999999982,-0.031799999999999995,-0.0030999999999999695,proportion,20000
WBCIC_MI,B1_minus_Full,PEEH_pp,10,1.1503999999999988,-0.024222500000000646,2.446299999999998,pp,20000
WBCIC_MI,B1_minus_Full,PSWA_pp,10,3.1167000000000007,1.1334824999999984,4.995132500000004,pp,20000
