task,fold,source_stage,successor_stage,trials,source_energy,successor_P_nonlinear_residual_over_input_energy,successor_C_nonlinear_residual_over_input_energy,successor_P_nonlinear_fraction,successor_C_nonlinear_fraction,interaction_definition
OpenBMI_MI,0,H_CONCAT,H_SHARED1,256,1.4946416328913856,0.000784493520161199,0.006169081670896597,0.0009816143991709626,0.004751448427684455,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,0,H_SHARED1,H_SHARED2,256,1.1249029086374045,0.0008498754910261335,0.006073572893757877,0.001161989214203702,0.004821922527236494,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,0,H_SHARED2,EMBEDDING,256,0.7740495724111373,0.00285582350861733,0.004966274669856127,0.01072014550144931,0.011575284203788137,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,1,H_CONCAT,H_SHARED1,256,1.5292039004211813,0.000778465581247351,0.006065336449586856,0.0009763338211794374,0.0048340609726724776,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,1,H_SHARED1,H_SHARED2,256,1.1415858881049215,0.0008815846952055179,0.006373970241562113,0.0011617401612053146,0.004986490964176801,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,1,H_SHARED2,EMBEDDING,256,0.7535580438724568,0.0020902035504331558,0.00447234096355313,0.008868550884889482,0.01063408539561888,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,2,H_CONCAT,H_SHARED1,256,1.5618855042347395,0.0010274087130067043,0.008300860377945852,0.0011704558365760256,0.005914632670891787,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,2,H_SHARED1,H_SHARED2,256,1.169413804991785,0.0012006015632517457,0.008000544422935605,0.001519913325095659,0.005754795449351897,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,2,H_SHARED2,EMBEDDING,256,0.8016115523283364,0.0031197372978544412,0.006475069196885544,0.01080896308088941,0.013461960790156978,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,3,H_CONCAT,H_SHARED1,256,1.495207798746574,0.0008684781386324125,0.006294367203074116,0.0010954847526256325,0.004726109595932734,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,3,H_SHARED1,H_SHARED2,256,1.122936260606509,0.001154685751432982,0.006751837529383918,0.0014515113883063126,0.0051720154682454045,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,3,H_SHARED2,EMBEDDING,256,0.7718937521375797,0.0025704137441249462,0.0060326310263487505,0.010477012507158531,0.01315856911500952,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,4,H_CONCAT,H_SHARED1,256,1.5408065474324915,0.000627649604641265,0.008939281219315379,0.0007236533752597739,0.0061451660091695615,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,4,H_SHARED1,H_SHARED2,256,1.168600605340926,0.0010011089855277951,0.007851281726743785,0.0012678128804641082,0.005855189860576902,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
OpenBMI_MI,4,H_SHARED2,EMBEDDING,256,0.8008241799990881,0.0035576769019837777,0.010142569717560326,0.014386585784161993,0.01652627366639135,F(h+dP+dC)-F(h+dP)-F(h+dC)+F(h)
