task,fold,stage,stage_role,discovery_mean_R2,discovery_variance_weighted_R2,delta_mean_R2_from_serial_predecessor,serial_predecessor,discovery_subjects,discovery_mean_R2_ci95_lower,discovery_mean_R2_ci95_upper,delta_ci95_lower,delta_ci95_upper,biological_subjects
OpenBMI_MI,0,BRANCH_15,PARALLEL_BRANCH,0.1096854259507001,0.11109926149033666,,,6,,,,,
OpenBMI_MI,0,BRANCH_63,PARALLEL_BRANCH,0.08327799010860829,0.0918924298739,,,6,,,,,
OpenBMI_MI,0,BRANCH_127,PARALLEL_BRANCH,0.07087413346533718,0.07834812518592116,,,6,,,,,
OpenBMI_MI,0,H_CONCAT,SERIAL,0.14806959591948876,0.15063796941312935,,,6,,,,,
OpenBMI_MI,0,H_SHARED1,SERIAL,0.24967504648729574,0.24800634293027968,0.10160545056780698,H_CONCAT,6,,,,,
OpenBMI_MI,0,H_SHARED2,SERIAL,0.3441109970208717,0.33991058877344216,0.09443595053357598,H_SHARED1,6,,,,,
OpenBMI_MI,0,EMBEDDING,SERIAL,0.9999999999999987,0.9999999999999986,0.6558890029791269,H_SHARED2,6,,,,,
OpenBMI_MI,1,BRANCH_15,PARALLEL_BRANCH,0.10230335040515376,0.10096178820301804,,,6,,,,,
OpenBMI_MI,1,BRANCH_63,PARALLEL_BRANCH,0.1545012569639226,0.15318332926645128,,,6,,,,,
OpenBMI_MI,1,BRANCH_127,PARALLEL_BRANCH,0.12257971029640014,0.12296437749142275,,,6,,,,,
OpenBMI_MI,1,H_CONCAT,SERIAL,0.1894406656890268,0.18837632359289525,,,6,,,,,
OpenBMI_MI,1,H_SHARED1,SERIAL,0.26674211805543313,0.26530166304025204,0.07730145236640634,H_CONCAT,6,,,,,
OpenBMI_MI,1,H_SHARED2,SERIAL,0.36212041954625385,0.36109963850899496,0.09537830149082072,H_SHARED1,6,,,,,
OpenBMI_MI,1,EMBEDDING,SERIAL,0.9999999999999982,0.9999999999999981,0.6378795804537444,H_SHARED2,6,,,,,
OpenBMI_MI,2,BRANCH_15,PARALLEL_BRANCH,0.0980707955631479,0.10506254491445943,,,6,,,,,
OpenBMI_MI,2,BRANCH_63,PARALLEL_BRANCH,0.09304068388706073,0.09797768959973141,,,6,,,,,
OpenBMI_MI,2,BRANCH_127,PARALLEL_BRANCH,0.1080294357048716,0.11561539391673548,,,6,,,,,
OpenBMI_MI,2,H_CONCAT,SERIAL,0.1656262171563182,0.1720907082876345,,,6,,,,,
OpenBMI_MI,2,H_SHARED1,SERIAL,0.2569652260562108,0.2624989858021234,0.0913390088998926,H_CONCAT,6,,,,,
OpenBMI_MI,2,H_SHARED2,SERIAL,0.3422919686415475,0.3480111501936357,0.08532674258533668,H_SHARED1,6,,,,,
OpenBMI_MI,2,EMBEDDING,SERIAL,0.9999999999999981,0.9999999999999981,0.6577080313584507,H_SHARED2,6,,,,,
OpenBMI_MI,3,BRANCH_15,PARALLEL_BRANCH,0.09173436149588549,0.10241337756650803,,,6,,,,,
OpenBMI_MI,3,BRANCH_63,PARALLEL_BRANCH,0.10789683735015704,0.10027641274820331,,,6,,,,,
OpenBMI_MI,3,BRANCH_127,PARALLEL_BRANCH,0.0881937991961793,0.07859184315731294,,,6,,,,,
OpenBMI_MI,3,H_CONCAT,SERIAL,0.19650710192717685,0.19376111947866204,,,6,,,,,
OpenBMI_MI,3,H_SHARED1,SERIAL,0.2795419299758734,0.290400519045678,0.08303482804869655,H_CONCAT,6,,,,,
