subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,arm,checkpoint,checkpoint_sha256,normalizer_sha256,protected_rank
4,S1,0.69,0.6899689968996899,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
4,S2,0.77,0.7660461804495982,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
12,S1,0.76,0.7596153846153846,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
12,S2,0.73,0.7266929851199515,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
13,S1,0.73,0.7286704853783539,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
13,S2,0.64,0.64,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
17,S1,0.71,0.7085720028137876,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
17,S2,0.6000000000000001,0.5993589743589745,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
18,S1,0.6000000000000001,0.5974235104669887,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
18,S2,0.62,0.6124031007751938,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
24,S1,0.62,0.6193910256410255,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
24,S2,0.54,0.4945054945054945,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
25,S1,0.75,0.7457023700539112,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
25,S2,0.95,0.9499549594635172,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
29,S1,0.63,0.6129302228266555,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
29,S2,0.81,0.8076728413807066,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
36,S1,0.9199999999999999,0.9198717948717949,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
36,S2,0.83,0.8279178054458953,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
37,S1,0.6699999999999999,0.6673051718923279,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
37,S2,0.65,0.630450849963045,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
39,S1,0.77,0.767182913250329,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
39,S2,0.78,0.7777777777777778,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
42,S1,0.6799999999999999,0.6715927750410509,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
42,S2,0.69,0.6846709388668497,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
51,S1,0.62,0.6193910256410255,100,OpenBMI_MI,0,0,RANDOM_PRESERVE_R0,RANDOM_PRESERVE_R0,/root/rivermind-data/CRCICLR_TFF_REMAIN_WORK/experiments/persist_eeg_sire_protected_preservation_intervention_v1/runtime/checkpoints/OpenBMI_MI/fold0_seed0/RANDOM_PRESERVE_R0/final.pt,fbf09c00fb82b9dec3d0fca8aca8324b80d1a637c89af799b405b2f884c22ebf,12d47d87b6c5f890babc3a9452672a2e7c29a9ec550f544df24d8acc4259b3fe,5
