subject_id,session,BA,macro_F1,trials,task,fold,seed,condition,checkpoint_sha256,arm,checkpoint,normalizer_sha256,protected_rank
4,S1,0.63,0.62996299629963,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
4,S2,0.73,0.721964782205746,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
12,S1,0.74,0.7373737373737375,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
12,S2,0.7,0.6899545266639107,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
13,S1,0.6799999999999999,0.677938808373591,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
13,S2,0.63,0.6189887756152817,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
17,S1,0.74,0.7390606182256123,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
17,S2,0.56,0.5592948717948718,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
18,S1,0.55,0.5477841422972565,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
18,S2,0.6,0.5920032639738881,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
24,S1,0.5800000000000001,0.5798319327731092,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
24,S2,0.56,0.548440065681445,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
25,S1,0.74,0.7362012987012987,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
25,S2,0.97,0.96999699969997,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
29,S1,0.65,0.6419437340153453,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
29,S2,0.72,0.7171717171717171,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
36,S1,0.87,0.8699869986998701,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
36,S2,0.8,0.7987117552334944,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
37,S1,0.62,0.62,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
37,S2,0.5900000000000001,0.5710848415106182,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
39,S1,0.75,0.7487689679429204,100,OpenBMI_MI,0,0,CE_REFERENCE,a1fc661c034d081d051b31198e765a2fa6f75dc88d1a28afcc6a756f8b59ef7d,CE_REFERENCE,,,
