task,fold,seed,active_rank,protected_rank,protected_fraction,protected_block_ids,protected_coordinate_ids,nonempty,protected_target_estimable,source_session_definition,selection_hash
OpenBMI_MI,0,0,20,5,0.25,"[3, 4]","[3, 4, 5, 6, 7]",True,True,"[1, 2]",905c2489f3c0d26d3a4ce3c6546070556439135c96be1b670e1c1185b244c563
OpenBMI_MI,0,1,20,8,0.4,"[3, 4]","[5, 6, 7, 8, 9, 10, 11, 12]",True,True,"[1, 2]",e640a90b5c0dcac9f0f682f9a6cec08b3e7d7c809a42d2c268b0847b21a1a2c8
OpenBMI_MI,0,2,20,8,0.4,"[3, 4]","[3, 4, 5, 6, 7, 8, 9, 10]",True,True,"[1, 2]",cac933a6f8dce7aedb6575226d2c1141bc4a2ba26a66158e93e233990fa7a1dd
OpenBMI_MI,1,0,20,8,0.4,"[3, 4]","[4, 5, 6, 7, 8, 9, 10, 11]",True,True,"[1, 2]",08e76ec380605c69763f6859dc6b429811b1602b95c7eacae351d81776b5d55a
OpenBMI_MI,1,1,20,4,0.2,[3],"[7, 8, 9, 10]",True,True,"[1, 2]",2b9f832e5537abdcb53fb6d64a70dc3e641fdb108f60c4b0bec95a525cffa132
OpenBMI_MI,1,2,20,5,0.25,"[3, 5]","[3, 8, 9, 10, 11]",True,True,"[1, 2]",ce63a388d8014d57462615996a8b447ec957e78d8bd5a4b2345bbe865b749bc5
OpenBMI_MI,2,0,20,4,0.2,[4],"[5, 6, 7, 8]",True,True,"[1, 2]",0d4eae64da03f7bdcd879464c2119cc17135893940459cfd7d97c24f57f4e0f3
OpenBMI_MI,2,1,20,8,0.4,"[4, 5]","[4, 5, 6, 7, 8, 9, 10, 11]",True,True,"[1, 2]",e8f4945008a4d19884b5c99d0262d056b1f3d50d6bedb43d22bab66f28a69128
OpenBMI_MI,2,2,20,4,0.2,[4],"[8, 9, 10, 11]",True,True,"[1, 2]",da08371ce03e3eed68f10b7bb42b7cef58283f8c183e1baa002bc943ee7396fd
OpenBMI_MI,3,0,20,3,0.15,[2],"[3, 4, 5]",True,True,"[1, 2]",9b6fd2be2185a46955244bde73e5dbd0d29858bc7f5a13e7c8550ffdaa289548
OpenBMI_MI,3,1,20,4,0.2,[3],"[6, 7, 8, 9]",True,True,"[1, 2]",de976d643ee22f61dc22014d330bf893251c103e3eed7e9bc36006ec1216fd5b
OpenBMI_MI,3,2,20,4,0.2,[4],"[4, 5, 6, 7]",True,True,"[1, 2]",bafaca27fae6bd4f8d0aca043f766ed70cdbdd2bc1ed12a03829da1ffadc24b4
OpenBMI_MI,4,0,20,4,0.2,[3],"[5, 6, 7, 8]",True,True,"[1, 2]",af53577989a0a4e09ea8597e897944cec5e4e3dc6021ee9d139baa548b76aa86
OpenBMI_MI,4,1,20,5,0.25,"[4, 5]","[4, 5, 6, 7, 8]",True,True,"[1, 2]",8987df870e49991e2a4961ceaacd816a7bb4a2245aea4db51c7c4ea7bc0d6fb2
OpenBMI_MI,4,2,20,8,0.4,"[2, 3]","[3, 4, 5, 6, 7, 8, 9, 10]",True,True,"[1, 2]",e98c27ba3c9bc4aaf5b8b7b49a1996a6ba03035ed148e979a5b7fbed0071d173
WBCIC_MI,0,0,20,3,0.15,"[2, 3, 4]","[2, 3, 4]",True,True,"[0, 1]",ccd9a229b008e321aea1e26afeb3fbf0768a58d0cb7eec5d20d05ab5b074524a
WBCIC_MI,0,1,20,4,0.2,[3],"[3, 4, 5, 6]",True,True,"[0, 1]",667da44ccf080af5dedf3db18e0aa906e97cb48b11f27827e3c921c568794291
WBCIC_MI,0,2,20,2,0.1,"[2, 3]","[2, 3]",True,True,"[0, 1]",6ac9a738d2c42471c8dc77368e3fb3ea0cd83632bda092c247c71b0eef7f4232
WBCIC_MI,1,0,20,3,0.15,[3],"[3, 4, 5]",True,True,"[0, 1]",3a5b1d11a8bcb50e967f4f7ff18a2f0dea21a2aff15976a67e88e71ceff9d178
