contrast,metric,biological_subjects,delta,ci95_lower,ci95_upper,bootstrap_replicates
STAGEWISE_PU_SHARED minus SHARED_CE_CONTINUATION,BA,20,-0.0020833333333333203,-0.009458333333333324,0.004041666666666682,20000
STAGEWISE_PU_SHARED minus SHARED_CE_CONTINUATION,macro_F1,20,-0.0024358913185583476,-0.010570278042323604,0.004201223650343869,20000
STAGEWISE_PU_SHARED minus SHARED_CE_CONTINUATION,NLL,20,-0.01750207470419506,-0.02697869969803529,-0.008452657941961664,20000
STAGEWISE_PU_SHARED minus SHARED_CE_CONTINUATION,worst_session_BA,20,-0.0030833333333333325,-0.011166666666666675,0.004500000000000009,20000
STAGEWISE_PU_SHARED minus SHARED_CE_CONTINUATION,future_session_BA,20,-0.0036666666666666735,-0.01349999999999999,0.0055833333333333065,20000
STAGEWISE_PU_SHARED minus BASELINE,BA,20,-0.014249999999999985,-0.027626041666666656,-0.0009583333333333551,20000
STAGEWISE_PU_SHARED minus BASELINE,macro_F1,20,-0.01642403945135868,-0.03206605836873761,-0.0017995690932737334,20000
STAGEWISE_PU_SHARED minus BASELINE,NLL,20,0.009756766554589074,-0.006020870275096965,0.02581972302558521,20000
STAGEWISE_PU_SHARED minus BASELINE,worst_session_BA,20,-0.016249999999999987,-0.033083333333333326,0.0008333333333333304,20000
STAGEWISE_PU_SHARED minus BASELINE,future_session_BA,20,-0.023916666666666676,-0.03808541666666668,-0.009916666666666674,20000
SHARED_CE_CONTINUATION minus BASELINE,BA,20,-0.012166666666666664,-0.02262604166666668,-0.0012916666666666623,20000
SHARED_CE_CONTINUATION minus BASELINE,macro_F1,20,-0.013988148132800332,-0.025876307134812888,-0.0019708749147471886,20000
SHARED_CE_CONTINUATION minus BASELINE,NLL,20,0.027258841258784132,0.005065712819341575,0.04965690903443221,20000
SHARED_CE_CONTINUATION minus BASELINE,worst_session_BA,20,-0.013166666666666655,-0.028833333333333315,0.0020000000000000074,20000
SHARED_CE_CONTINUATION minus BASELINE,future_session_BA,20,-0.02025,-0.03033333333333333,-0.010000000000000014,20000
