comparison,task,target,feature_set,heldout_fold,training_scope,feature,standardized_coefficient,mean_coefficient,mean_absolute_coefficient,sign_consistency
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,b0_top1_probability,-0.05624187546603059,-0.023644510901151515,0.026327291658923058,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,b0_margin,-0.056242108249237595,-0.02364481924390036,0.026327249219033417,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,b0_entropy,0.15134620129146104,0.27318096168432865,0.2731809616843287,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,b0_logit_l2_norm,0.07035105956310782,0.11746560653731095,0.11746560653731097,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,candidate_top1_probability,-0.09478890136355354,-0.04345557699325962,0.04345557699325962,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,candidate_margin,-0.09478943152888746,-0.04345594616761863,0.043455946167618636,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,candidate_entropy,-0.41192504246012135,-0.251865265858246,0.25186526585824603,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,candidate_logit_l2_norm,0.08263216591848507,0.09181163475892748,0.11674012721491185,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,top1_probability_difference,-0.029704921212156135,-0.015254342757960282,0.020848882243399893,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,margin_difference,-0.029705139412476662,-0.015254403786295587,0.020848831397523266,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,entropy_difference,-0.3902527662642159,-0.345646893642128,0.34564689364212803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,probability_L1_distance,-0.11587269300442073,-0.05126821347492273,0.05126821347492273,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,0,seed0,JS_divergence,0.07348683156829511,0.03360321352834735,0.09502602128327886,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,b0_top1_probability,0.0008341786390651568,-0.023644510901151515,0.026327291658923058,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,b0_margin,0.0008334244960719322,-0.02364481924390036,0.026327249219033417,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,b0_entropy,0.21004723187338523,0.27318096168432865,0.2731809616843287,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,b0_logit_l2_norm,0.08035756858097415,0.11746560653731095,0.11746560653731097,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,candidate_top1_probability,-0.04666350386108372,-0.04345557699325962,0.04345557699325962,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,candidate_margin,-0.04666375328500472,-0.04345594616761863,0.043455946167618636,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,candidate_entropy,-0.3988577448553944,-0.251865265858246,0.25186526585824603,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,candidate_logit_l2_norm,-0.06232123113996093,0.09181163475892748,0.11674012721491185,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,top1_probability_difference,-0.03334711074165279,-0.015254342757960282,0.020848882243399893,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,margin_difference,-0.03334680187854401,-0.015254403786295587,0.020848831397523266,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,entropy_difference,-0.4207725420517032,-0.345646893642128,0.34564689364212803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,probability_L1_distance,-0.03578629403302633,-0.05126821347492273,0.05126821347492273,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,1,seed0,JS_divergence,-0.0014085907621459765,0.03360321352834735,0.09502602128327886,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,b0_top1_probability,0.005872773255363698,-0.023644510901151515,0.026327291658923058,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,b0_margin,0.00587265044176071,-0.02364481924390036,0.026327249219033417,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,b0_entropy,0.31405301561137156,0.27318096168432865,0.2731809616843287,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,b0_logit_l2_norm,0.21479690259976683,0.11746560653731095,0.11746560653731097,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,candidate_top1_probability,-0.032956843576224415,-0.04345557699325962,0.04345557699325962,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,candidate_margin,-0.03295711464671985,-0.04345594616761863,0.043455946167618636,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,candidate_entropy,-0.302445871673665,-0.251865265858246,0.25186526585824603,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,candidate_logit_l2_norm,0.06021328468218941,0.09181163475892748,0.11674012721491185,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,top1_probability_difference,-0.02720603054959152,-0.015254342757960282,0.020848882243399893,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,margin_difference,-0.027206146668526457,-0.015254403786295587,0.020848831397523266,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,entropy_difference,-0.4055071041851237,-0.345646893642128,0.34564689364212803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,probability_L1_distance,-0.022027185072769694,-0.05126821347492273,0.05126821347492273,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,2,seed0,JS_divergence,-0.1521484286251828,0.03360321352834735,0.09502602128327886,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,b0_top1_probability,-0.02852547780154933,-0.023644510901151515,0.026327291658923058,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,b0_margin,-0.028525679713352646,-0.02364481924390036,0.026327249219033417,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,b0_entropy,0.3701004324032145,0.27318096168432865,0.2731809616843287,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,b0_logit_l2_norm,0.07739932670716851,0.11746560653731095,0.11746560653731097,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,candidate_top1_probability,-0.02462693456381096,-0.04345557699325962,0.04345557699325962,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,candidate_margin,-0.024627384031834686,-0.04345594616761863,0.043455946167618636,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,candidate_entropy,-0.09263868518679892,-0.251865265858246,0.25186526585824603,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,candidate_logit_l2_norm,0.06373051531068395,0.09181163475892748,0.11674012721491185,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,top1_probability_difference,0.0011735283514893913,-0.015254342757960282,0.020848882243399893,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,margin_difference,0.0011733450107706542,-0.015254403786295587,0.020848831397523266,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,entropy_difference,-0.2864281069273652,-0.345646893642128,0.34564689364212803,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,probability_L1_distance,-0.03977435905388197,-0.05126821347492273,0.05126821347492273,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,3,seed0,JS_divergence,0.22531629592379396,0.03360321352834735,0.09502602128327886,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,b0_top1_probability,-0.040162153132606515,-0.023644510901151515,0.026327291658923058,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,b0_margin,-0.040162383194744196,-0.02364481924390036,0.026327249219033417,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,b0_entropy,0.3203579272422109,0.27318096168432865,0.2731809616843287,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,b0_logit_l2_norm,0.14442317523553747,0.11746560653731095,0.11746560653731097,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,candidate_top1_probability,-0.018241701601625467,-0.04345557699325962,0.04345557699325962,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,candidate_margin,-0.01824204734564646,-0.04345594616761863,0.043455946167618636,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,candidate_entropy,-0.05345898511525043,-0.251865265858246,0.25186526585824603,1.0
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,candidate_logit_l2_norm,0.3148034390232399,0.09181163475892748,0.11674012721491185,0.8
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,top1_probability_difference,0.012812820362109642,-0.015254342757960282,0.020848882243399893,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,margin_difference,0.012812724017298537,-0.015254403786295587,0.020848831397523266,0.6
X,OpenBMI_ERP,CLEAN_RESCUE_VS_HARM,CONF_ONLY,4,seed0,entropy_difference,-0.22527394878223184,-0.345646893642128,0.34564689364212803,1.0
