dataset,method,BA,accuracy,macro_F1,NLL,outcome_subject_count,delta_vs_task_pp
OpenBMI,ANCHOR,0.8190740740740741,0.8190740740740741,0.8143560024614593,0.4175450932207887,54,-2.220446049250313e-14
OpenBMI,TASK_ONLY_MATCHED,0.8190740740740743,0.8190740740740743,0.814600261195706,0.4163576406110328,54,0.0
OpenBMI,SSPG,0.8185185185185188,0.8185185185185188,0.8138486711063772,0.41598900060756894,54,-0.05555555555555314
OpenBMI,CROSS_SUBJECT_K4_GUARD,0.8188888888888891,0.8188888888888891,0.8143108012175962,0.4158615500489922,54,-0.018518518518517713
OpenBMI,RANDOM_DIRECTION_GUARD,0.8190740740740743,0.8190740740740743,0.814600261195706,0.416355961085156,54,0.0
WBCIC,ANCHOR,0.7862985033259424,0.7863008130081302,0.7844212098825816,0.4242379532245632,41,-0.5116869918699085
WBCIC,TASK_ONLY_MATCHED,0.7914153732446415,0.7914196372732957,0.7902643113574681,0.413580387457427,41,0.0
WBCIC,SSPG,0.7906836659275684,0.7906879299562227,0.7895250824157519,0.41321481629656615,41,-0.07317073170730604
WBCIC,CROSS_SUBJECT_K4_GUARD,0.7917812269031782,0.7917854909318325,0.7906254117911575,0.41315127747269054,41,0.03658536585366967
WBCIC,RANDOM_DIRECTION_GUARD,0.7915373244641537,0.791541588492808,0.7903942225209435,0.4135797400191618,41,0.012195121951219523
