dataset,fold,method,steps,trigger_rate,harmful_subjects_mean,R_before_mean,R_after_mean,R_reduction_mean,raw_correction_norm_mean,final_correction_norm_mean,correction_task_ratio_mean,cap_hit_rate,backtracking_rate,no_safe_step_rate,task_step_norm_mean,q_norm_mean,max_q_delta_identity_error,max_random_norm_error,all_certificate_monotone,all_bn_unchanged,all_optimizer_state_nonpolluted
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,136,0.36815767973856206,3.1911764705882355,1.0675806510915163e-08,3.5416134029825043e-10,1.0321645170616913e-08,7.219445855271795e-05,7.219445855271795e-05,0.053055659826733555,0.0,0.0,0.0,0.0014211579212261474,0.0007459929373079136,2.842170943040401e-14,0.0,True,True,True
OpenBMI,0,RANDOM_DIRECTION_GUARD,136,0.3805147058823529,3.286764705882353,2.8292002828117e-08,2.0294563947068285e-09,2.6262546433410172e-08,8.23528132179811e-05,8.208126222839114e-05,0.060134377441645105,0.0,0.007352941176470588,0.0,0.001421032877474585,0.0018637671540305105,4.547473508864641e-13,5.820766091346741e-11,True,True,True
OpenBMI,0,SSPG,136,0.39409722222222227,3.411764705882353,3.227061899640472e-08,2.175977334466242e-09,3.009464166193848e-08,8.843061333152491e-05,8.8305867680226e-05,0.06503868143017068,0.007352941176470588,0.0,0.0,0.0014216136221554788,0.0020779231909052536,1.1368683772161603e-13,0.0,True,True,True
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,136,0.4511846405228758,3.8970588235294117,3.4958570949280773e-08,1.2550327795011066e-09,3.370353816977967e-08,0.00010846397691131963,0.00010846397691131963,0.07473965382669083,0.0,0.0,0.0,0.001490235172027229,0.0020888368519669763,1.7053025658242404e-13,0.0,True,True,True
OpenBMI,1,RANDOM_DIRECTION_GUARD,136,0.443218954248366,3.8161764705882355,8.773415079236823e-08,2.4493756921822e-09,8.528477510018604e-08,0.00011355479562900976,0.0001132394382987995,0.07904325975421471,0.0,0.014705882352941176,0.0,0.0014866122553083936,0.005415726006343474,4.547473508864641e-13,7.275957614183426e-11,True,True,True
OpenBMI,1,SSPG,136,0.45526960784313725,3.9191176470588234,8.11876195835933e-08,3.1294979053966712e-09,7.805812167819663e-08,0.000114994476013956,0.00011459200882601341,0.07899739189852192,0.007352941176470588,0.007352941176470588,0.0,0.0014931051752201335,0.004822634796255443,6.821210263296962e-13,0.0,True,True,True
OpenBMI,2,CROSS_SUBJECT_K4_GUARD,136,0.38449754901960786,3.2941176470588234,1.3504257764554281e-08,3.4911669143442224e-10,1.3155141073119857e-08,7.032988501432623e-05,7.032988501432623e-05,0.048187278984162404,0.0,0.0,0.0,0.0014649510267190635,0.0008879173553800549,2.2737367544323206e-13,0.0,True,True,True
OpenBMI,2,RANDOM_DIRECTION_GUARD,136,0.3947099673202614,3.389705882352941,3.2004224203758446e-08,2.1865185858884253e-09,2.981770561787002e-08,8.73948581723947e-05,8.725695082201877e-05,0.0590734784610349,0.0,0.007352941176470588,0.0,0.0014662648746332921,0.002216862004883403,4.547473508864641e-13,8.731149137020111e-11,True,True,True
OpenBMI,2,SSPG,136,0.39481209150326796,3.389705882352941,3.397124745412877e-08,2.439330140197576e-09,3.153191731393119e-08,9.04444108994419e-05,8.963939781882774e-05,0.06079442013913384,0.0,0.029411764705882353,0.0,0.0014648464523762574,0.002214183261070074,2.2737367544323206e-13,0.0,True,True,True
OpenBMI,3,CROSS_SUBJECT_K4_GUARD,136,0.4050245098039216,3.485294117647059,1.3986894960648525e-08,4.588629140869386e-10,1.3528032046561587e-08,8.50201401075377e-05,8.50201401075377e-05,0.05969945298953975,0.0,0.0,0.0,0.0014314110851367278,0.0009439268374749457,1.1368683772161603e-13,0.0,True,True,True
