dataset,fold,method,seed,subject_id,BA,accuracy,macro_F1,NLL,trials,outcome_subject_count_fold
OpenBMI,0,ANCHOR,0,2,0.81,0.81,0.8099809980998101,0.38459608543910684,100,11
OpenBMI,0,ANCHOR,0,13,0.76,0.76,0.7575757575757576,0.4736962827543875,100,11
OpenBMI,0,ANCHOR,0,14,0.76,0.76,0.7596153846153846,0.4779694688724749,100,11
OpenBMI,0,ANCHOR,0,19,0.6699999999999999,0.67,0.6440513428972063,0.6446105107578342,100,11
OpenBMI,0,ANCHOR,0,32,0.75,0.75,0.7497747973175859,0.6316021871353464,100,11
OpenBMI,0,ANCHOR,0,33,0.78,0.78,0.7726333195535345,0.4031703613060679,100,11
OpenBMI,0,ANCHOR,0,36,0.94,0.94,0.9399038461538461,0.17118394063227801,100,11
OpenBMI,0,ANCHOR,0,40,0.84,0.84,0.8368013055895553,0.34896173657959684,100,11
OpenBMI,0,ANCHOR,0,47,0.96,0.96,0.96,0.22239047400729234,100,11
OpenBMI,0,ANCHOR,0,50,0.5700000000000001,0.57,0.5174503422735944,0.92528827152013,100,11
OpenBMI,0,ANCHOR,0,53,0.8,0.8,0.7992773986350863,0.4065136995137958,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,2,0.79,0.79,0.7889659330720531,0.3943894898115045,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,13,0.72,0.72,0.7126436781609196,0.49839140295581047,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,14,0.77,0.77,0.7688674505074866,0.49950953858780295,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,19,0.75,0.75,0.742559983523839,0.5819388817764333,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,32,0.75,0.75,0.7497747973175859,0.6343603855290935,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,33,0.84,0.84,0.8376623376623377,0.36040556651572603,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,36,0.9099999999999999,0.91,0.9095568284594513,0.20004353477625106,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,40,0.8200000000000001,0.82,0.8152709359605912,0.35659482779624246,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,47,0.96,0.96,0.96,0.19140714550432775,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,50,0.59,0.59,0.5577607593571352,0.876700573585174,100,11
OpenBMI,0,TASK_ONLY_MATCHED,0,53,0.79,0.79,0.7874278773155178,0.42675087445565113,100,11
OpenBMI,0,SSPG,0,2,0.79,0.79,0.7889659330720531,0.39644955171784046,100,11
OpenBMI,0,SSPG,0,13,0.72,0.72,0.7126436781609196,0.49495579801326883,100,11
OpenBMI,0,SSPG,0,14,0.78,0.78,0.779205138498595,0.4985907366811887,100,11
OpenBMI,0,SSPG,0,19,0.74,0.74,0.7312939231087227,0.5846596061162594,100,11
OpenBMI,0,SSPG,0,32,0.75,0.75,0.7497747973175859,0.631654680938055,100,11
OpenBMI,0,SSPG,0,33,0.83,0.83,0.8270776116366596,0.3648247579061582,100,11
OpenBMI,0,SSPG,0,36,0.9199999999999999,0.92,0.9194847020933977,0.1985266804507388,100,11
OpenBMI,0,SSPG,0,40,0.81,0.81,0.8043455874781176,0.36444174702526283,100,11
OpenBMI,0,SSPG,0,47,0.97,0.97,0.96999699969997,0.1938678012332186,100,11
OpenBMI,0,SSPG,0,50,0.58,0.58,0.5442708333333334,0.8808000199891679,100,11
OpenBMI,0,SSPG,0,53,0.79,0.79,0.7874278773155178,0.4234164481370244,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,2,0.79,0.79,0.7889659330720531,0.39571167207227953,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,13,0.72,0.72,0.7126436781609196,0.49703769040111856,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,14,0.78,0.78,0.779205138498595,0.49923632972855964,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,19,0.74,0.74,0.7312939231087227,0.5836829573992987,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,32,0.75,0.75,0.7497747973175859,0.6318095956034295,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,33,0.83,0.83,0.8270776116366596,0.36260871599049943,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,36,0.9199999999999999,0.92,0.9194847020933977,0.1995898930705778,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,40,0.81,0.81,0.8043455874781176,0.3611825562543109,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,47,0.97,0.97,0.96999699969997,0.19302668789827593,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,50,0.58,0.58,0.5442708333333334,0.8788140118238372,100,11
OpenBMI,0,CROSS_SUBJECT_K4_GUARD,0,53,0.79,0.79,0.7874278773155178,0.42515077708637894,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,2,0.79,0.79,0.7889659330720531,0.3943774350437016,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,13,0.72,0.72,0.7126436781609196,0.4984024967766053,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,14,0.77,0.77,0.7688674505074866,0.49949967878101165,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,19,0.75,0.75,0.742559983523839,0.5819147565493266,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,32,0.75,0.75,0.7497747973175859,0.6343600527914086,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,33,0.84,0.84,0.8376623376623377,0.36038977611048884,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,36,0.9099999999999999,0.91,0.9095568284594513,0.20004783359320452,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,40,0.8200000000000001,0.82,0.8152709359605912,0.3565401558767307,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,47,0.96,0.96,0.96,0.19138910276734844,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,50,0.59,0.59,0.5577607593571352,0.876651530150256,100,11
OpenBMI,0,RANDOM_DIRECTION_GUARD,0,53,0.79,0.79,0.7874278773155178,0.42675092703681416,100,11
OpenBMI,1,ANCHOR,0,1,0.77,0.77,0.7631551848419318,0.5030825470850094,100,11
OpenBMI,1,ANCHOR,0,5,0.79,0.79,0.7851662404092072,0.5185872965236455,100,11
OpenBMI,1,ANCHOR,0,6,0.96,0.96,0.9599358974358975,0.10049146693620468,100,11
OpenBMI,1,ANCHOR,0,10,0.77,0.77,0.7694235588972431,0.5148941658907025,100,11
OpenBMI,1,ANCHOR,0,16,0.84,0.84,0.8399359743897559,0.3359196506280394,100,11
OpenBMI,1,ANCHOR,0,25,1.0,1.0,1.0,0.05082325349927719,100,11
OpenBMI,1,ANCHOR,0,35,0.8,0.8,0.797979797979798,0.38253257896907095,100,11
OpenBMI,1,ANCHOR,0,42,0.78,0.78,0.7796474358974359,0.4746336375253759,100,11
OpenBMI,1,ANCHOR,0,43,0.9099999999999999,0.91,0.9097744360902256,0.2508296643870056,100,11
OpenBMI,1,ANCHOR,0,45,0.92,0.92,0.92,0.2917810684700174,100,11
OpenBMI,1,ANCHOR,0,48,0.61,0.61,0.5920075321686369,0.8142424508977031,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,1,0.76,0.76,0.7519636213311285,0.509866338773832,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,5,0.8,0.8,0.7960016319869441,0.47553703571378186,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,6,0.97,0.97,0.9699729756781104,0.11110808164146993,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,10,0.75,0.75,0.7497747973175859,0.5123950049572641,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,16,0.84,0.84,0.8399359743897559,0.3161980307616372,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,25,1.0,1.0,1.0,0.051457683114570704,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,35,0.8,0.8,0.797077922077922,0.38485465832831695,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,42,0.79,0.79,0.7898108297467721,0.4670590301264052,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,43,0.9199999999999999,0.92,0.9197109594540345,0.22931217045435492,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,45,0.9299999999999999,0.93,0.9299929992999301,0.26984133490616274,100,11
OpenBMI,1,TASK_ONLY_MATCHED,0,48,0.62,0.62,0.6006725514922235,0.8262852021529035,100,11
OpenBMI,1,SSPG,0,1,0.76,0.76,0.7519636213311285,0.5033818652820377,100,11
OpenBMI,1,SSPG,0,5,0.8,0.8,0.7960016319869441,0.4780041228541309,100,11
OpenBMI,1,SSPG,0,6,0.97,0.97,0.9699729756781104,0.1106868258461497,100,11
OpenBMI,1,SSPG,0,10,0.76,0.76,0.7596153846153846,0.5136806664846132,100,11
OpenBMI,1,SSPG,0,16,0.84,0.84,0.8399359743897559,0.3150854753205721,100,11
OpenBMI,1,SSPG,0,25,1.0,1.0,1.0,0.050961197886979434,100,11
OpenBMI,1,SSPG,0,35,0.8,0.8,0.797077922077922,0.3868304159483981,100,11
OpenBMI,1,SSPG,0,42,0.79,0.79,0.7898108297467721,0.4686380366793161,100,11
OpenBMI,1,SSPG,0,43,0.9199999999999999,0.92,0.9197109594540345,0.2308012723388063,100,11
OpenBMI,1,SSPG,0,45,0.94,0.94,0.94,0.2681677228075369,100,11
OpenBMI,1,SSPG,0,48,0.61,0.61,0.5882166613873931,0.8393793725329151,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,1,0.76,0.76,0.7519636213311285,0.5029977418585835,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,5,0.8,0.8,0.7960016319869441,0.4780110637170957,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,6,0.97,0.97,0.9699729756781104,0.1103436355482231,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,10,0.77,0.77,0.7694235588972431,0.5138684715432407,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,16,0.84,0.84,0.8399359743897559,0.31454678232204825,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,25,1.0,1.0,1.0,0.05075615025158066,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,35,0.8,0.8,0.797077922077922,0.3862604530365396,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,42,0.79,0.79,0.7898108297467721,0.47052283224825003,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,43,0.9199999999999999,0.92,0.9197109594540345,0.23095023712940438,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,45,0.9299999999999999,0.93,0.9299929992999301,0.2683656067403286,100,11
OpenBMI,1,CROSS_SUBJECT_K4_GUARD,0,48,0.62,0.62,0.6006725514922235,0.840462350224312,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,1,0.76,0.76,0.7519636213311285,0.5098312857140551,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,5,0.8,0.8,0.7960016319869441,0.4755510422112553,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,6,0.97,0.97,0.9699729756781104,0.11108309744938533,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,10,0.75,0.75,0.7497747973175859,0.5123896468624692,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,16,0.84,0.84,0.8399359743897559,0.3161902113598208,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,25,1.0,1.0,1.0,0.051457142965404205,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,35,0.8,0.8,0.797077922077922,0.38484686208363256,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,42,0.79,0.79,0.7898108297467721,0.46710256949418166,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,43,0.9199999999999999,0.92,0.9197109594540345,0.22933070633925248,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,45,0.9299999999999999,0.93,0.9299929992999301,0.26983348401504686,100,11
OpenBMI,1,RANDOM_DIRECTION_GUARD,0,48,0.62,0.62,0.6006725514922235,0.8264068623317464,100,11
OpenBMI,2,ANCHOR,0,4,0.8200000000000001,0.82,0.8199279711884754,0.414098689211337,100,11
OpenBMI,2,ANCHOR,0,7,0.8999999999999999,0.9,0.8998397435897436,0.31997998917300774,100,11
OpenBMI,2,ANCHOR,0,18,0.8500000000000001,0.85,0.8492613807657522,0.3686765373633232,100,11
OpenBMI,2,ANCHOR,0,22,0.75,0.75,0.742559983523839,0.5793725856278977,100,11
OpenBMI,2,ANCHOR,0,26,0.89,0.89,0.8899889988998899,0.2655695570408603,100,11
OpenBMI,2,ANCHOR,0,29,0.81,0.81,0.8067338012409724,0.3833937959735706,100,11
OpenBMI,2,ANCHOR,0,34,0.7,0.7,0.6940024479804161,0.6851231237954694,100,11
OpenBMI,2,ANCHOR,0,44,0.87,0.87,0.8677652324280338,0.3321475289003905,100,11
