dataset,outer_fold,opt_seed,method,phase,epoch,meta_train_subjects,pseudo_unseen_subjects,partition_disjoint,partition_seed
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,1,7;9;12;15;16;25;34;37;44;46;51,4;8;11;27;29;35;38;39;43;49;52,True,3552084785656430714
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,2,7;9;12;15;16;25;27;34;43;44;49,4;8;11;29;35;37;38;39;46;51;52,True,4980215817855256910
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,3,7;15;16;27;29;34;37;38;44;51;52,4;8;9;11;12;25;35;39;43;46;49,True,7729479304929281243
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,4,4;7;9;11;12;15;25;29;43;44;46,8;16;27;34;35;37;38;39;49;51;52,True,4021820299594906514
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,5,8;9;27;29;34;37;38;39;46;49;52,4;7;11;12;15;16;25;35;43;44;51,True,7578466172132878251
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,6,15;16;25;27;35;38;39;43;44;46;52,4;7;8;9;11;12;29;34;37;49;51,True,231722113823725211
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,7,7;8;9;11;12;15;29;43;46;49;52,4;16;25;27;34;35;37;38;39;44;51,True,907536409377996148
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,8,4;7;8;9;16;25;27;39;43;46;49,11;12;15;29;34;35;37;38;44;51;52,True,8627582085144448820
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,9,8;11;15;16;25;34;35;38;39;49;51,4;7;9;12;27;29;37;43;44;46;52,True,3397038173021049770
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,10,4;8;9;11;12;15;27;29;37;46;49,7;16;25;34;35;38;39;43;44;51;52,True,4179790880198177365
OpenBMI,0,0,B2_TWO_TRAJECTORY_MEAN,selection,11,7;9;11;12;16;27;34;37;43;49;51,4;8;15;25;29;35;38;39;44;46;52,True,4208215299985794851
