dataset,outer_fold,opt_seed,phase,epoch,step,trajectory1_seed,trajectory2_seed,partition_seed,pair_hash,method
OpenBMI,0,0,selection,1,0,849396612401791082,8669917861389659278,3552084785656430714,76e67e51a6224fb7040b61cd34b35b58c1980ec086143fd2b64ad2c901790c09,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,1,6500803707264226734,2980320693898253459,3552084785656430714,ce296f1416ed45945fce4ffe09f0f6cafda72075503b969567ad3ddeba860e1e,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,2,3665495158259574359,6794204204552520921,3552084785656430714,33cf7633dba0d9105d8226cca497579f3322a89a70872ee7b2966d3f6fd8c2b5,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,3,5227451777090027524,8769378812040767244,3552084785656430714,4d10f4eb8d36bec766fb555990a5a92a4aae583df3f934e12e5ba0ee08e38385,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,4,1080224065671001297,2189290486843157691,3552084785656430714,1473d5199eea5a99d4f50f04def18876ac81f9ba729461ce89a46113ecc48764,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,5,1217131810721584262,3132557962024156176,3552084785656430714,39e9ecdd3b61c2c57d5a3a536ff0df788b673afd36ada00a9c21c5f610ab99e7,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,6,2274872338470900846,7356972593827539108,3552084785656430714,d9c4e8a43aa62cabaa2955c0ac3daf6b634cd7e9fbbf3cee0165c73f73cb3d20,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,7,1790834309409974703,3208114512154059979,3552084785656430714,5bf11c57b3e2b14b1d845e9e9217c011a74bc6c3fd83c249ece2cf665360a76a,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,8,1845596485140942723,7687779696231517945,3552084785656430714,3c7dbdefab4ecd28b57ef0f5d8171c03baabfdf3e6ebf10e8aa43144dbeb674d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,9,3273012972628568190,66608573975918249,3552084785656430714,2d7e1d0b63a3986bb99f778970d88ab2dde2b5c5f7c370d2d9afd3352410f022,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,10,3930980681920720606,3146352997745201040,3552084785656430714,304e12fb5dd71ec5d070840f1d4fb639c6151221b79f48eca5f817acb06b2dc7,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,11,1626149390924324941,4685722663156807359,3552084785656430714,1b0e7da9429cc72d8def131b633e9bf74006bd2f6f62909f589a6421e96b337c,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,12,3537009074057335957,37774218060597325,3552084785656430714,147ec8be6469de121b96cc33a3b107d6a9fe1149a2b91bf6878dc4d4e5104449,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,13,6340702975643556833,4705138336606323108,3552084785656430714,dac46d22817ac1181a7c4af9dfbe9864ce9aa70eb83b64c85021d74810136015,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,14,9014295541818574282,5565124550875062859,3552084785656430714,b02918d2809922cae76685174554b6399308bfc1da01c3e9208f6b49c492a029,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,15,3846484697750910942,8537101880734450182,3552084785656430714,2ed5a3f522c352abcf34bed3f9995139261fea264785096998578fb8e434b0eb,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,16,4348235021622713814,8915225288624857189,3552084785656430714,247abaddd5401824235bc0565f8cbead3c36d5f1b2143f87837f7ef9fda8d564,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,17,6084110869223123155,8151545614252309955,3552084785656430714,2395605548e460905582b6834bc46e039882b4fe02b92ddf75057c84f61b6d5b,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,18,6555226448608469443,4190575088355534863,3552084785656430714,53d0b741c73963cc9d8bbcfaaca7e7283239618039656daa3eb09c21d8fa7ce6,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,19,2796219097627353190,6663762810069704150,3552084785656430714,8bbfc155a27b21c91490637b70bc744af16b07ad2a56e31228356d20da56d532,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,20,1508397360212982986,8428624272341276058,3552084785656430714,ccaca70f7c24b1084e1324f5c0c4644170ce267edfeb0deb7139627ef07775dc,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,21,8236037892461558482,3280749582918785164,3552084785656430714,3163d8e78ae8ea4e107d4c8900d909f6a52521fb78d14bd8523246884b8b42d6,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,22,2776565414296509116,2470881940348047537,3552084785656430714,3a454a0f50577ef92162fe9998d08e7423b14340b30ad21ef2d25521a322d2fb,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,23,1392902572034784820,1624897509112491420,3552084785656430714,809cca8d3b68bac3472efbc40389f687ec70e52bf3ae456723758f1feb47659d,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,24,1439804904738661061,2953299612481330739,3552084785656430714,e99a536c893c6691b504fe958caa3603d719a183c1d30618cd93a5808db5587e,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,25,2153399080318323778,4262027551206120171,3552084785656430714,fad7ea65f2b8214429c827e0552e4f20072c9f636dd77711d4dbc3797c73a7d9,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,26,3895137870933325157,4660553553372285214,3552084785656430714,2d558987a2afb92b1a30cff26e314cf2e5cc04e4f8282c7c84ecff1a0ced6cbb,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,27,979652569913314054,6468044374004224491,3552084785656430714,15704677808a29266465b7f516886497f1ee4d7351d6d88c6d2c1938fdad2ce7,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,28,2147024917412778639,465209130599118022,3552084785656430714,4763b6c298d3200d2e2f0cd67270b110931d6e5e185101a5f6e8427720554a12,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,29,8237058323689326617,3789255612359777245,3552084785656430714,94849dbf888948f9d810cb169246979a94d9c97f752441235724e90b0095a536,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,30,6587635680898134138,3527281462384126945,3552084785656430714,e35fcb58ec1c855d10d4feefa5e66302ca030e7b01e92f075bd4efe299aed00c,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,31,6113148800421704582,7859421638746347493,3552084785656430714,87b316757bd7dc1f60dffae47b151ed272948fbc73fee029b6572af088779c6b,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,32,7240328914333885434,6080558629708403102,3552084785656430714,3f882be20fd6931a7e599bcec7c0ab731dfcc16dc9bdb708ed1348ccc8742da9,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,33,3112920317272279621,7125365063048076213,3552084785656430714,53ec058975ea7ac644c99ba5388fb322737822a14628712046d8b09923779354,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,1,34,5651775649890268311,8216757948803486871,3552084785656430714,4ef71b935d0da41b2bf3c949b9805aba4b5b7b12c33898245842a5a716746734,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,0,5199125227189602359,8768412961693318019,4980215817855256910,9a9b2acdf330a05b0325e574a63fd0342718041c43fcbba423991b53401e550f,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,1,1403335408183016228,8341374775192018206,4980215817855256910,a0912992e0b9df1b8fa463c7e31bf18043d7b116c4a80cb8e77dccf2da6d7f7a,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,2,3465617340405386857,122494941108614570,4980215817855256910,b7abd85db9c8041f7eded800c3cfdca0afc8443663c4eedb3ce9525c8caf69f4,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,3,6485783490928659995,7748099392167699841,4980215817855256910,4f0132c68d9e367afb583cb9565866c4f6691dcac6dffe4d350be727372f1ef3,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,4,6281282089828186332,8266954606433905195,4980215817855256910,cc6105f88a9e987d230d735c13ddc6ceee5ea6a72479be8aee84849b70783f3b,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,5,4892312951517734890,1610514065139074992,4980215817855256910,1c4a9e97f4f8815d899eae9ea651e2f46fede5b8c069f820d8afaca80926cc17,B2_TWO_TRAJECTORY_MEAN
OpenBMI,0,0,selection,2,6,4555483688051193212,6461232894504556347,4980215817855256910,606892b38aac58e93f363e4fa0310023abdfb99321222f90a04918c6ed9c64f0,B2_TWO_TRAJECTORY_MEAN
