dataset,role,fold,seed,subject,method,recipe,alpha,BA,macro_F1,margin,CE,ECE,future_session_used_for_fit,future_labels_used_for_fit,population_checkpoint_unchanged,oracle_label,population_checkpoint_id,certificate,rank,l2
OpenBMI,outcome,0,0,15,population,upda_r1_l20.001_one_se,0.0,0.79,0.7874278773155178,1.499080810546875,0.49047782282926006,0.11262621834739203,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,intercept_only,upda_r1_l20.001_one_se,1.0,0.71,0.6938021328265231,1.4990808105468754,0.5975605143543558,0.11840487275610764,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,ordinary_adapter,upda_r1_l20.001_one_se,1.0,0.79,0.7882851093860268,3.7240211825023795,0.8247683194933215,0.19197919478893466,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,previous_full_pda,upda_r1_l20.001_one_se,1.0,0.75,0.7493734335839599,1.0269328709977814,0.46421975313695407,0.07595045514735031,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,persistent_ce,upda_r1_l20.001_one_se,1.0,0.72,0.7083333333333334,3.4068037274275444,0.9286887087569897,0.1811657841309055,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,u_pda,upda_r1_l20.001_one_se,0.5,0.76,0.7596153846153846,2.4529422689872096,0.579779897400454,0.1510296984042603,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,eb_u_pda,upda_r1_l20.001_one_se,0.5,0.76,0.7596153846153846,2.4529422689872096,0.579779897400454,0.1510296984042603,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,random_gate,upda_r1_l20.001_one_se,0.0,0.79,0.7874278773155178,1.499080810546875,0.49047782282926006,0.11262621834739203,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,correct_adapter,upda_r1_l20.001_one_se,0.5,0.76,0.7596153846153846,2.4529422689872096,0.579779897400454,0.1510296984042603,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
OpenBMI,outcome,0,0,15,wrong_adapter,upda_r1_l20.001_one_se,0.5,0.78,0.7785829307568438,2.381896451162003,0.5578299832535301,0.1251300020513865,False,False,True,,6d09c5dc89898730838356a2c9e982f81d99e2a95b71ed72dbc414e123dcbd6e,one-SE U-PDA,1,0.001
