dataset,recipe,rank,l2,certificate,validation_population_BA,validation_persistent_ce_BA,validation_certified_BA,validation_delta_BA,validation_delta_vs_always_on,validation_subjects,OpenBMI,WBCIC,minimum_dataset_delta,mean_dataset_delta
OpenBMI,upda_r1_l20.001_eb,1,0.001,EB-U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r1_l20.001_one_se,1,0.001,one-SE U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r1_l20.01_eb,1,0.01,EB-U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
OpenBMI,upda_r1_l20.01_one_se,1,0.01,one-SE U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
OpenBMI,upda_r2_l20.001_eb,2,0.001,EB-U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r2_l20.001_one_se,2,0.001,one-SE U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r2_l20.01_eb,2,0.01,EB-U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
OpenBMI,upda_r2_l20.01_one_se,2,0.01,one-SE U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
OpenBMI,upda_r4_l20.001_eb,4,0.001,EB-U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r4_l20.001_one_se,4,0.001,one-SE U-PDA,0.7610833333333333,0.74425,0.7575833333333333,-0.003499999999999999,0.013333333333333324,120,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
OpenBMI,upda_r4_l20.01_eb,4,0.01,EB-U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
OpenBMI,upda_r4_l20.01_one_se,4,0.01,one-SE U-PDA,0.7610833333333333,0.74625,0.75825,-0.0028333333333333322,0.01200000000000001,120,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r1_l20.001_eb,1,0.001,EB-U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r1_l20.001_one_se,1,0.001,one-SE U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r1_l20.01_eb,1,0.01,EB-U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r1_l20.01_one_se,1,0.01,one-SE U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r2_l20.001_eb,2,0.001,EB-U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r2_l20.001_one_se,2,0.001,one-SE U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r2_l20.01_eb,2,0.01,EB-U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r2_l20.01_one_se,2,0.01,one-SE U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r4_l20.001_eb,4,0.001,EB-U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r4_l20.001_one_se,4,0.001,one-SE U-PDA,0.797321127946128,0.7787845117845118,0.7908653198653198,-0.0064558080808080716,0.012080808080808077,123,-0.003499999999999999,-0.0064558080808080716,-0.0064558080808080716,-0.004977904040404035
WBCIC,upda_r4_l20.01_eb,4,0.01,EB-U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
WBCIC,upda_r4_l20.01_one_se,4,0.01,one-SE U-PDA,0.797321127946128,0.7799255050505051,0.787810606060606,-0.009510521885521869,0.007885101010101018,123,-0.0028333333333333322,-0.009510521885521869,-0.009510521885521869,-0.0061719276094276
