backbone,fold,seed,method,best_epoch,best_validation_BA,best_validation_NLL,lambda
eegnet,0,0,CORAL,20,0.788125,0.40700763463974,0.1
eegnet,0,0,DANN,20,0.7925,0.4187897741794586,0.1
eegnet,0,0,ERM,11,0.7831250000000001,0.42314621806144714,0.0
eegnet,0,0,MMD,17,0.785,0.4164476692676544,0.01
eegnet,0,1,CORAL,18,0.7862500000000001,0.4142001271247864,1.0
eegnet,0,1,DANN,18,0.7849999999999999,0.4115021526813507,0.1
eegnet,0,1,ERM,18,0.7875000000000001,0.4022490382194519,0.0
eegnet,0,1,MMD,17,0.79375,0.41806137561798096,1.0
eegnet,0,2,CORAL,13,0.7949999999999999,0.4137701690196991,1.0
eegnet,0,2,DANN,20,0.7937500000000001,0.40878310799598694,0.1
eegnet,0,2,ERM,30,0.7949999999999999,0.40878596901893616,0.0
eegnet,0,2,MMD,13,0.7925,0.41922783851623535,0.1
eegnet,1,0,CORAL,13,0.784375,0.45682060718536377,1.0
eegnet,1,0,DANN,13,0.785625,0.4478326439857483,0.01
eegnet,1,0,ERM,13,0.78375,0.4493556320667267,0.0
eegnet,1,0,MMD,13,0.786875,0.4448663294315338,0.1
eegnet,1,1,CORAL,18,0.8043750000000001,0.4125279486179352,1.0
eegnet,1,1,DANN,18,0.7937500000000001,0.43095389008522034,0.1
eegnet,1,1,ERM,14,0.7975,0.42016491293907166,0.0
eegnet,1,1,MMD,14,0.798125,0.4228304922580719,0.01
eegnet,1,2,CORAL,27,0.791875,0.43852829933166504,0.01
eegnet,1,2,DANN,11,0.775625,0.4592384994029999,0.01
eegnet,1,2,ERM,27,0.7918750000000001,0.4371889531612396,0.0
eegnet,1,2,MMD,19,0.78375,0.44754359126091003,1.0
eegnet,2,0,CORAL,16,0.7960227272727273,0.4069876968860626,1.0
eegnet,2,0,DANN,16,0.7822466856060606,0.41710707545280457,0.1
eegnet,2,0,ERM,16,0.7878590593434344,0.4052225351333618,0.0
eegnet,2,0,MMD,16,0.7866611426767677,0.4073610305786133,0.1
eegnet,2,1,CORAL,14,0.784799558080808,0.40171733498573303,0.1
eegnet,2,1,DANN,18,0.7835424558080808,0.40932196378707886,0.01
eegnet,2,1,ERM,15,0.7853914141414142,0.3951438069343567,0.0
eegnet,2,1,MMD,25,0.7866745580808081,0.3992995023727417,1.0
eegnet,2,2,CORAL,28,0.8016098484848484,0.3951312005519867,1.0
eegnet,2,2,DANN,22,0.7953077651515151,0.41391924023628235,0.1
eegnet,2,2,ERM,25,0.7928140782828283,0.4032958149909973,0.0
eegnet,2,2,MMD,13,0.7928464330808082,0.4137880504131317,0.1
eegnet,3,0,CORAL,25,0.8049999999999999,0.4106666147708893,1.0
eegnet,3,0,DANN,15,0.795625,0.4288497269153595,0.1
eegnet,3,0,ERM,12,0.79125,0.42555755376815796,0.0
eegnet,3,0,MMD,24,0.8,0.42387184500694275,1.0
eegnet,3,1,CORAL,30,0.794375,0.43248575925827026,1.0
eegnet,3,1,DANN,14,0.7831250000000001,0.4411555528640747,0.01
eegnet,3,1,ERM,28,0.790625,0.4249386489391327,0.0
eegnet,3,1,MMD,28,0.7925,0.4228152334690094,0.01
eegnet,3,2,CORAL,28,0.7906249999999999,0.4460981786251068,1.0
eegnet,3,2,DANN,36,0.7893749999999999,0.4670882523059845,0.01
eegnet,3,2,ERM,20,0.78375,0.4406408667564392,0.0
eegnet,3,2,MMD,30,0.78625,0.44471535086631775,1.0
eegnet,4,0,CORAL,17,0.8266666666666667,0.38557034730911255,1.0
eegnet,4,0,DANN,22,0.8283333333333334,0.38656526803970337,0.1
eegnet,4,0,ERM,30,0.826111111111111,0.3852030336856842,0.0
eegnet,4,0,MMD,17,0.8222222222222223,0.3980101943016052,0.1
eegnet,4,1,CORAL,16,0.8233333333333334,0.37471285462379456,0.1
eegnet,4,1,DANN,16,0.8177777777777777,0.3808610439300537,0.1
eegnet,4,1,ERM,16,0.8205555555555555,0.3797503411769867,0.0
eegnet,4,1,MMD,16,0.8238888888888889,0.3778815269470215,0.01
eegnet,4,2,CORAL,16,0.8150000000000001,0.40540069341659546,1.0
eegnet,4,2,DANN,20,0.8166666666666667,0.39324015378952026,0.01
eegnet,4,2,ERM,23,0.81,0.3946196734905243,0.0
eegnet,4,2,MMD,32,0.815,0.40735092759132385,1.0
