dataset,task,fold,selected_epoch,median_delta_BA_pp,std_delta_BA_pp,robust_gain_BA_pp,nonnegative_splits,eligible
OpenBMI,OpenBMI_MI,0,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_MI,1,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_MI,2,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_MI,3,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_MI,4,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_ERP,0,1,0.022727,0.033070,0.006192,2,True
OpenBMI,OpenBMI_ERP,1,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_ERP,2,3,0.041667,0.052608,0.015363,2,True
OpenBMI,OpenBMI_ERP,3,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_ERP,4,19,0.253788,0.036898,0.235339,3,True
OpenBMI,OpenBMI_SSVEP,0,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_SSVEP,1,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_SSVEP,2,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_SSVEP,3,0,0.000000,0.000000,0.000000,3,False
OpenBMI,OpenBMI_SSVEP,4,0,0.000000,0.000000,0.000000,3,False
WBCIC,WBCIC_MI,0,19,0.333333,0.137115,0.264776,3,True
WBCIC,WBCIC_MI,1,11,0.250000,0.157135,0.171433,2,True
WBCIC,WBCIC_MI,2,9,0.083333,0.000000,0.083333,3,True
WBCIC,WBCIC_MI,3,0,0.000000,0.000000,0.000000,3,False
WBCIC,WBCIC_MI,4,0,0.000000,0.000000,0.000000,3,False
