task,dataset,fold,seed,subject_id,method,BA,macro_F1,accuracy,trials,checkpoint_sha256,normalizer_sha256
OpenBMI_ERP,OpenBMI,0,0,15,LiteBN_BASELINE,0.7884848484848486,0.760514905465532,0.8535353535353535,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,15,LiteBN_XS,0.7460606060606061,0.7295077319100456,0.8393939393939394,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,15,XS_FT,0.739090909090909,0.7314270390131244,0.8459595959595959,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,3,LiteBN_BASELINE,0.9236363636363636,0.8307939160069486,0.8828282828282829,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,3,LiteBN_XS,0.9287878787878788,0.8520335329341318,0.9015151515151515,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,3,XS_FT,0.9336363636363636,0.8599043062200957,0.9075757575757576,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,32,LiteBN_BASELINE,0.9045454545454545,0.8104684567231942,0.8671717171717171,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,32,LiteBN_XS,0.9354545454545455,0.8684913288459566,0.9146464646464646,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,32,XS_FT,0.933939393939394,0.8675910380453511,0.9141414141414141,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,33,LiteBN_BASELINE,0.7578787878787878,0.7613501988748343,0.8691919191919192,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,33,LiteBN_XS,0.7278787878787879,0.7404733424470267,0.8636363636363636,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,33,XS_FT,0.7142424242424242,0.7355026511193925,0.8671717171717171,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,38,LiteBN_BASELINE,0.7287878787878788,0.69065395273547,0.7984848484848485,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,38,LiteBN_XS,0.6448484848484848,0.6541342168069337,0.8202020202020202,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,38,XS_FT,0.6290909090909091,0.6473473802120551,0.8323232323232324,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,47,LiteBN_BASELINE,0.8054545454545454,0.7528296883504766,0.8373737373737373,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,47,LiteBN_XS,0.8875757575757576,0.8541268216781436,0.9116161616161617,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,47,XS_FT,0.8875757575757576,0.8640151595323076,0.9196969696969697,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,5,LiteBN_BASELINE,0.6463636363636364,0.56605291005291,0.646969696969697,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,5,LiteBN_XS,0.7127272727272728,0.6489850704689063,0.7454545454545455,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,5,XS_FT,0.7048484848484848,0.6462126141312782,0.7464646464646465,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,6,LiteBN_BASELINE,0.8821212121212121,0.7882878228596301,0.85,1980,2abd5a36099dd7886c813f1ca9deaa043158ce533a29b6ab31aacf611848f23b,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,6,LiteBN_XS,0.896060606060606,0.8247166467065868,0.8833333333333333,1980,ee51d39e62626ee7968ced1184489303c3f1fad55c37f2c62d36e093e8fb6196,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,0,0,6,XS_FT,0.899090909090909,0.8244274024777452,0.8823232323232323,1980,8d4ae5924aa5ec62bd9d3b7b94238332a8f9b7aab68e7fb94362e1df9de8aec2,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4
OpenBMI_ERP,OpenBMI,1,0,14,LiteBN_BASELINE,0.7593939393939394,0.724335625841986,0.8252525252525252,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,14,LiteBN_XS,0.7766666666666666,0.7320292692609602,0.8257575757575758,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,14,XS_FT,0.7748484848484849,0.745521794381709,0.842929292929293,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,2,LiteBN_BASELINE,0.9766666666666667,0.9447705618082642,0.9671717171717171,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,2,LiteBN_XS,0.9696969696969697,0.9270277197502592,0.9555555555555556,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,2,XS_FT,0.9757575757575758,0.942408278425005,0.9656565656565657,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,LiteBN_BASELINE,0.9412121212121212,0.8992510981613617,0.9383838383838384,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,LiteBN_XS,0.9415151515151515,0.8843643806848641,0.9267676767676768,1980,6a856e1c2f6bb59d105071808260778409cb8b12f92683dc0910bd2e0498fe66,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,26,XS_FT,0.9415151515151515,0.8973011574055825,0.9368686868686869,1980,abb2a266b99fedd174bb21311a6783beff1594e14dde075eeba0667e5fa7a2ea,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
OpenBMI_ERP,OpenBMI,1,0,28,LiteBN_BASELINE,0.9187878787878788,0.8680609279617217,0.9171717171717172,1980,c08f0f3483a798cec6cfcf478741f17cdc1686870da39749ba6ae265536d3c9a,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b
