dataset,requested_budget,strategy,calibration_scheme,seed,raw_gain,calibrated_gain,violation,cp_upper,sentinel_rate,oracle_recovery
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.5365573531347734,-0.05807891586632919,0.012307692307692308,,0.6484615384615385,-0.45746541523313256
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,1,-1.0202932918411756,-0.016226896892514796,0.038461538461538464,,0.8530769230769231,-0.11638290479499662
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.7206709710259467,-0.02814321853364105,0.03307692307692308,,0.7430769230769231,-0.18770031790384747
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.5211869123442919,-0.033308236192018684,0.018461538461538463,,0.6361538461538462,-0.24408671677552776
eegmmidb,5,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7179352414359425,-0.030624967642075843,0.02076923076923077,,0.67,-0.20392653352353782
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.4608922745208267,-0.05468094633245914,0.015384615384615385,0.07091401853303768,0.5846153846153846,-0.43070090834496966
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-1.0065724513910013,-0.008164426565523727,0.046153846153846156,0.11498716462527742,0.8461538461538461,-0.05855707877945543
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.6424792037828353,-0.014921001242677081,0.046153846153846156,0.11498716462527742,0.6923076923076923,-0.09951515223272693
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.4221920362324639,-0.012932567370371998,0.046153846153846156,0.11498716462527742,0.5692307692307692,-0.09477139199789937
eegmmidb,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.6422336454529196,-0.020421643836105553,0.015384615384615385,0.07091401853303768,0.6461538461538462,-0.1359843081312411
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.555719213540314,-0.04664050149406487,0.024615384615384615,,0.4853846153846154,-0.36736939841939353
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,1,-1.2612626640773066,-0.019012218012826668,0.033846153846153845,,0.793076923076923,-0.13635984585254915
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.7306908534916787,-0.01139526007456063,0.027692307692307693,,0.46384615384615385,-0.07600033151984091
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.49808619472166477,-0.011887624526461298,0.03076923076923077,,0.36538461538461536,-0.08711392654347336
eegmmidb,10,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7980918973909265,-0.03731935351991733,0.012307692307692308,,0.7315384615384616,-0.2485033285782217
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.5427297665598082,-0.043104913508722226,0.03076923076923077,0.09370678347465346,0.47692307692307695,-0.3395209236040134
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-1.2285336577832895,-0.013209829021810268,0.06153846153846154,0.1353119711320861,0.8153846153846154,-0.09474382462568705
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.7207078081255943,-0.009904136339428368,0.046153846153846156,0.11498716462527742,0.4307692307692308,-0.06605532829344242
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.5031515564723439,-0.006356549010193233,0.03076923076923077,0.09370678347465346,0.27692307692307694,-0.046581547247841935
eegmmidb,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7501543290005827,-0.027409170191076897,0.015384615384615385,0.07091401853303768,0.5846153846153846,-0.18251307655729915
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.6143540278306535,-0.019013597360942304,0.025384615384615384,,0.20384615384615384,-0.14976283703053248
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,1,-1.231497227356747,0.014419915246399377,0.0676923076923077,,0.46769230769230774,0.10342283151178214
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.8050079319365215,-0.004187999289898813,0.048461538461538466,,0.46846153846153843,-0.027931730592769335
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.535390570376065,0.006058070694212897,0.03769230769230769,,0.30461538461538457,0.04439426264482876
eegmmidb,20,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7561238324362057,0.009126809142697994,0.04923076923076923,,0.2646153846153846,0.06077389443651921
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.5802381723280331,-0.004251916697888209,0.03076923076923077,0.09370678347465346,0.18461538461538463,-0.033490722213425105
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-1.2034698986873817,0.026325409080138928,0.09230769230769231,0.17407671202454578,0.4461538461538462,0.18881167477414876
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.7820506687129596,0.012539499378661454,0.07692307692307693,0.15495542461876646,0.4153846153846154,0.08363179985673604
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.5321556159275352,0.011072004758453833,0.046153846153846156,0.11498716462527742,0.2923076923076923,0.0811369678668724
eegmmidb,20,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7411272844057517,0.016976082807721622,0.06153846153846154,0.1353119711320861,0.26153846153846155,0.11304089396100805
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.5715940182952212,-0.01230524613233669,0.015384615384615385,,0.15384615384615385,-0.09692371917601174
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,1,-1.2383420295280658,0.012337805901746768,0.046153846153846156,,0.4153846153846154,0.08848948133173284
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.8480397878948507,0.0021711343866500925,0.03076923076923077,,0.35384615384615387,0.014480313049449703
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.5467080844728449,0.01607411435159346,0.06153846153846154,,0.2,0.1177930219581841
eegmmidb,50,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7781970141905756,-0.005021949830489123,0.0,,0.46153846153846156,-0.033440323347598756
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.571594018295221,-0.012305246132336686,0.015384615384615385,0.07091401853303768,0.15384615384615385,-0.09692371917601168
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-1.2383420295280658,0.012337805901746775,0.046153846153846156,0.11498716462527742,0.4153846153846154,0.08848948133173289
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.8480397878948507,0.002171134386650098,0.03076923076923077,0.09370678347465346,0.35384615384615387,0.01448031304944974
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.5467080844728449,0.01607411435159348,0.06153846153846154,0.1353119711320861,0.2,0.11779302195818425
eegmmidb,50,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.7781970141905756,-0.005021949830489116,0.0,0.04504225812301352,0.46153846153846156,-0.033440323347598715
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.008029508741134323,0.03680667359127499,0.042222222222222223,,0.2733333333333334,0.09172490778489616
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,1,-0.04421283277090363,-0.008464095483634552,0.06166666666666666,,0.3288888888888889,-0.022361096705044423
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.04665606970446248,-0.022637837028534367,0.05499999999999999,,0.36222222222222217,-0.05625872065982453
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.004469011341505322,-0.012284819062244564,0.03611111111111111,,0.36611111111111105,-0.030078231601928487
hmc,5,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.01769479011887074,0.04216075815133495,0.058888888888888886,,0.22611111111111112,0.11270858004090858
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.004412078658348556,0.04940275253180991,0.022222222222222223,0.06830234138898506,0.25555555555555554,0.12311525270174076
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-0.025520247469066372,0.01786392011621364,0.05555555555555555,0.1132624892332057,0.3,0.0471942744528576
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.02832921229247616,0.011665772498721126,0.07777777777777778,0.14112572639106263,0.3111111111111111,0.028991349105454083
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,0.017229923244357882,-0.002031060362123194,0.044444444444444446,0.09882084611586947,0.34444444444444444,-0.004972861517935638
hmc,5,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,0.004736255572065373,0.07786890747278417,0.044444444444444446,0.09882084611586947,0.16666666666666666,0.20816736641906208
hmc,10,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.030068553265175407,0.04742988834069073,0.035555555555555556,,0.25555555555555554,0.11819873163786966
hmc,10,random,S1_ORIGINAL_3TRAIN_1CAL,1,-0.05856885076865393,0.021090549789951722,0.04888888888888889,,0.2716666666666666,0.0557186322304049
hmc,10,random,S1_ORIGINAL_3TRAIN_1CAL,2,-0.06039326504179913,0.002563974597312494,0.027222222222222224,,0.27388888888888885,0.0063718954451024495
hmc,10,random,S1_ORIGINAL_3TRAIN_1CAL,3,-0.024467865734906613,0.0011579520966982755,0.026111111111111113,,0.3194444444444445,0.0028351375117498696
hmc,10,random,S1_ORIGINAL_3TRAIN_1CAL,4,-0.025983237369985143,0.017051022188812957,0.050555555555555555,,0.2511111111111111,0.0455825887250152
hmc,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,0,-0.031074317432454878,0.039574136587899246,0.03333333333333333,0.08390002415112975,0.26666666666666666,0.09862162686856923
hmc,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,1,-0.04323678290213725,0.019578332962531576,0.06666666666666667,0.127339593186046,0.2777777777777778,0.051723541817930374
hmc,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,2,-0.04832214765100671,-0.005864078154437356,0.05555555555555555,0.1132624892332057,0.28888888888888886,-0.01457319152894483
hmc,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,3,-0.012510024057738567,-0.016942015703564264,0.03333333333333333,0.08390002415112975,0.34444444444444444,-0.041480942417902296
hmc,10,temporal,S1_ORIGINAL_3TRAIN_1CAL,4,-0.014440936106983649,0.020470622978106486,0.05555555555555555,0.1132624892332057,0.23333333333333334,0.05472422578677285
hmc,20,random,S1_ORIGINAL_3TRAIN_1CAL,0,-0.03479730531109898,-0.02367437029343029,0.022222222222222223,,0.37611111111111106,-0.05899825276645316
