dataset,model,seed,n,accuracy,balanced_accuracy,macro_f1,kappa,nll,brier,ece,probability_finite,probability_nonnegative,max_probability_sum_error,all_classes_predicted,minimum_fold_predicted_classes,nonconstant_subject_rate
hmc,cbramod,0,83621,0.4680164073617871,0.48302345924925866,0.45077983928504556,0.333320423169315,1.3171027618545026,0.6767967305345621,0.08290693771939504,True,True,1.5273690223693848e-07,True,5,1.0
hmc,cbramod,1,83621,0.4786716255486062,0.48716697290221517,0.447160150980182,0.3443527263122609,1.2996411372588337,0.6677569102762444,0.07613684169875844,True,True,1.5273690223693848e-07,True,5,1.0
hmc,cbramod,2,83621,0.47364896377704163,0.47659956193229497,0.44795156488255355,0.3341642871288246,1.3180775513833505,0.6783116669936424,0.08929875616131523,True,True,1.5087425708770752e-07,True,5,1.0
hmc,cbramod,3,83621,0.4821755300701977,0.49569919716686855,0.4576298104064934,0.35026624191402567,1.2926548931880038,0.665432990376049,0.09467322930902654,True,True,1.5273690223693848e-07,True,5,1.0
hmc,cbramod,4,83621,0.47968811662142286,0.49413518765477144,0.445844958459495,0.34823434144390464,1.2899847580000567,0.6633961444064581,0.07323534363318693,True,True,1.5273690223693848e-07,True,5,1.0
hmc,labram,0,83621,0.4894464309204626,0.5119757624828655,0.4733391041061547,0.3637593812106831,1.3861100450085224,0.7081431061463546,0.20067548405252222,True,True,1.341104507446289e-07,True,5,1.0
hmc,labram,1,83621,0.3657813228734409,0.3734258536632783,0.3530415117668504,0.20288540529907428,1.5343012093362391,0.7705824594586315,0.14659586421892057,True,True,1.4901161193847656e-07,True,2,0.9777777777777777
hmc,labram,2,83621,0.48162542901902633,0.5063553779499311,0.45522946917692214,0.35354274780778794,1.396717545639145,0.7108325405864777,0.19616738214597554,True,True,1.4156103134155273e-07,True,5,1.0
hmc,labram,3,83621,0.5263271187859508,0.5241937709677053,0.49237501447381093,0.3999266864082107,1.3488276886995931,0.6888513106710548,0.2224274988906964,True,True,1.4156103134155273e-07,True,5,1.0
hmc,labram,4,83621,0.5175852955597278,0.5386580236306591,0.503514974816234,0.3967563970086595,1.3326792384505841,0.6822846785865117,0.21088246447347087,True,True,1.3783574104309082e-07,True,5,1.0
