dataset,seed,action,config_id,inner_fold,n_subjects,heldout_mean_safe_gain,heldout_harm_rate
eegmmidb,0,official_t3a,official_t3a-06d8b003eb93,0,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-06d8b003eb93,1,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-06d8b003eb93,2,6,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0ad43336d54d,0,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0ad43336d54d,1,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0ad43336d54d,2,6,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0e621b80ffab,0,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0e621b80ffab,1,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-0e621b80ffab,2,6,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-13d4c0513513,0,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-13d4c0513513,1,12,0.0,0.0
eegmmidb,0,official_t3a,official_t3a-13d4c0513513,2,6,0.0,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-23484698f18c,0,12,0.007638888888888871,0.08333333333333333
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-23484698f18c,1,12,-0.018055555555555547,0.08333333333333333
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-23484698f18c,2,6,0.001388888888888884,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,0,12,0.008333333333333312,0.08333333333333333
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,1,12,-0.01874999999999999,0.16666666666666666
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-346f250d78e3,2,6,0.005555555555555536,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,0,12,0.008333333333333312,0.08333333333333333
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,1,12,-0.01874999999999999,0.16666666666666666
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,2,6,0.005555555555555536,0.0
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-808e998f02ef,0,12,0.008333333333333312,0.08333333333333333
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-808e998f02ef,1,12,-0.01874999999999999,0.16666666666666666
eegmmidb,0,robust_residual_adapter,robust_residual_adapter-808e998f02ef,2,6,0.005555555555555536,0.0
eegmmidb,1,official_t3a,official_t3a-06d8b003eb93,0,12,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-06d8b003eb93,1,10,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-06d8b003eb93,2,8,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0ad43336d54d,0,12,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0ad43336d54d,1,10,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0ad43336d54d,2,8,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0e621b80ffab,0,12,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0e621b80ffab,1,10,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-0e621b80ffab,2,8,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-13d4c0513513,0,12,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-13d4c0513513,1,10,0.0,0.0
eegmmidb,1,official_t3a,official_t3a-13d4c0513513,2,8,0.0,0.0
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-23484698f18c,0,12,0.004203216374268996,0.08333333333333333
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-23484698f18c,1,10,-0.010000000000000009,0.3
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-23484698f18c,2,8,0.012499999999999983,0.125
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-346f250d78e3,0,12,0.0055921052631578705,0.16666666666666666
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-346f250d78e3,1,10,-0.008333333333333349,0.3
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-346f250d78e3,2,8,0.016666666666666663,0.25
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,0,12,0.0055921052631578705,0.16666666666666666
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,1,10,-0.008333333333333349,0.3
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-6e54d31acf02,2,8,0.016666666666666663,0.25
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-808e998f02ef,0,12,0.0062865497076023125,0.16666666666666666
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-808e998f02ef,1,10,-0.008333333333333349,0.3
eegmmidb,1,robust_residual_adapter,robust_residual_adapter-808e998f02ef,2,8,0.016666666666666663,0.25
