task,condition,mean_delta,ci_lower,ci_upper,negative_seeds
mi,erase_UL,-0.04646296296296297,-0.05696342592592592,-0.03598148148148147,5
mi,erase_UM,-0.05868518518518519,-0.07166666666666666,-0.045943981481481495,5
mi,erase_ULM,-0.07148148148148148,-0.08385185185185183,-0.05890740740740742,5
mi,keep_UL,-0.009111111111111106,-0.01342592592592592,-0.004907407407407397,5
mi,keep_UM,-0.006462962962962958,-0.009870833333333334,-0.0031666666666666705,5
mi,erase_PCA,-0.18568518518518518,-0.20075925925925922,-0.17135138888888884,5
mi,residualized_raw,0.0004259259259259254,-0.0003148148148148167,0.0012037037037037064,1
mi,residualized_erase_UL,-0.04688888888888888,-0.05696388888888888,-0.03687037037037037,5
mi,residualized_erase_UM,-0.05907407407407407,-0.07175972222222222,-0.04692546296296296,5
erp,erase_UL,-0.00316461302254977,-0.0050108484690289945,-0.0011617458475496273,5
erp,erase_UM,-0.006214560648075853,-0.008193791264672588,-0.004193146513465798,5
erp,erase_ULM,-0.014861096567371196,-0.0181375313753547,-0.011627442319187298,5
erp,keep_UL,-0.08225518292962972,-0.08734394027847095,-0.077152570567757,5
erp,keep_UM,-0.06025073866889567,-0.06546301617944288,-0.05554732277389774,5
erp,erase_PCA,-0.031166873681069896,-0.036947396351613544,-0.02574136215817532,5
erp,residualized_raw,5.1613096374133915e-05,-0.00029187439549923386,0.00038214087423697567,2
erp,residualized_erase_UL,-0.003219587338815384,-0.004887888143500939,-0.0014033289429949978,5
erp,residualized_erase_UM,-0.006492883943677109,-0.008413944937570778,-0.0044569480250961965,5
ssvep,erase_UL,-0.009759259259259264,-0.013666666666666669,-0.006129629629629637,5
ssvep,erase_UM,-0.020074074074074078,-0.026499999999999996,-0.014425462962962973,5
ssvep,erase_ULM,-0.02946296296296297,-0.03664814814814815,-0.022925462962962977,5
ssvep,keep_UL,-0.11457407407407408,-0.16033564814814816,-0.07074074074074074,5
ssvep,keep_UM,-0.03551851851851852,-0.04724074074074073,-0.02351805555555556,5
ssvep,erase_PCA,-0.0801111111111111,-0.09596342592592592,-0.06488888888888891,5
ssvep,residualized_raw,-0.00014814814814814912,-0.0005185185185185215,0.00022222222222221706,4
ssvep,residualized_erase_UL,-0.00970370370370371,-0.013796759259259259,-0.005888425925925935,5
ssvep,residualized_erase_UM,-0.02012962962962963,-0.02664814814814815,-0.014648148148148157,5
