protocol_id,source_alias,role,backbone,fold,seed,method,lambda,relative_path,bytes,sha256
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_global_protocol,,,,,,STRESS_TEST_PROTOCOL_FROZEN.json,8960,26724a0aa145393711e8909d742d87817e26f5292434818e710684fb2ce5e401
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,historical_aggregate_code,,,,,,code/aggregate.py,37395,0676549a82fe56b07e9ff7921958cf4a50e15f5cc22032ff8c2d06a913679506
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,historical_common_code,,,,,,code/common.py,35347,e5498c52cc164ad0ab76be9ef49f2935cdb951543a4a256c159dcef89e8f2c58
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,historical_unit_runner,,,,,,code/run_stress.py,16398,bb0f8c17b31e8dc825f8d72a5dc440d1e396a6703feb927d1a0ac34eec92ca7e
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,lambda_selection_freeze,eegconformer,0,0,,,runtime/runs/eegconformer/fold-0/seed-0/LAMBDA_SELECTION_FROZEN.json,1823,08c56324e8c19268b79cd45a5c9c44df8ef1a79971f77dac258b7ad6a639c771
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,unit_protocol,eegconformer,0,0,,,runtime/runs/eegconformer/fold-0/seed-0/UNIT_PROTOCOL.json,1759,82a648324df3dff0de320a374b10e43598e5cc1e3541380e42bc2914027d342f
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/coral__lambda-0.01.pt,599525,9239c4060633ce489efe98b5ac095743cbb85c809be2e6560d6169de631f37c2
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/coral__lambda-0.10.pt,599525,85e345fd15844b0ef3fb6b702a19a1431d23e44fcc1cc6eadc576fba06182940
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/coral__lambda-1.00.pt,599525,d4eb8e0b6bf2c4f8c1a2e49cf5a643d1502cf351fb6f412da103a630a84d1bbd
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,DANN,0.01,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/dann__lambda-0.01.pt,599479,06a3c7958d58a633b95ff05d75190a7cadee35cf22cc1f0e544c8b70387a914d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,DANN,0.1,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/dann__lambda-0.10.pt,599479,2ae0668beb2ab0544db2decb3c3b1d2721c9a684d3b7865bf78916d92e2efbe6
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,DANN,1.0,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/dann__lambda-1.00.pt,599479,fc7d3ea2fa03aa23294c8c19975b2eaf30f6270b2c078e3195f45699ca5065ea
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,ERM,0.0,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/erm__lambda-0.00.pt,599433,297498db804917c3f667e314a4874e4f3e3bcb45123c0ca31d62a2dc32382100
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,MMD,0.01,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/mmd__lambda-0.01.pt,599433,a9a26ef9f6f6465e4e4b1b0c8adfab623a3c19b42c7bf5427b7d59a7fde98547
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,MMD,0.1,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/mmd__lambda-0.10.pt,599433,ecb2f8440fca1c948c417fdab6e8f269480e4505bb0439a7dd08b09035c0c1f2
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,frozen_head_checkpoint,eegconformer,0,0,MMD,1.0,runtime/runs/eegconformer/fold-0/seed-0/checkpoints/mmd__lambda-1.00.pt,599433,328e5234c571a7dd09221e87304eab073f19a747bd8ff253e4fa0db5f6b81d82
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.01/EVALUATION_COMPLETE.json,603,7dbecb0d1e4f5d1897b13f7bd63a5a012efff018c4d28b7dacb77c7587e28a00
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.01/directions.csv,2197,50b62ccd8c7ba8d67b05622b8dd573c4144a7c540e77114a9d697ed04f4e737d
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,CORAL,0.01,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.01/embeddings.npz,1744455,2c15c96a2bef768ff3e60f27cdb56ca1785717521b933f9fa5dbe0cef321cb5e
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.10/EVALUATION_COMPLETE.json,616,8a33b03fcbbcfd4c99a58c50965811b266479c1673ee034371724d75d066c794
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.10/directions.csv,2203,e18205d3c49266fb399481925d1ac8a7d5ae9d5e2cb4ccb338f5d50ddd2e644b
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,CORAL,0.1,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-0.10/embeddings.npz,1745135,12626f74e916ce59272bc33595139ad3c89a8a0ea80a3da31ca6954e97cd55dc
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,evaluation_guard,eegconformer,0,0,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-1.00/EVALUATION_COMPLETE.json,604,e9d87e42972af839eae54052cdd61b64b026f03238559019f7b2e5ea532be133
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,direction_table,eegconformer,0,0,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-1.00/directions.csv,2193,96caacacc60e76b31435006268e13536625a5da70c63e3dce12baee16d53f802
PERSIST_EEG_SUBJECT_LEVEL_D_VS_I_REANALYSIS_V1,OPENBMI_STRESS_HISTORICAL,embedding_archive,eegconformer,0,0,CORAL,1.0,runtime/runs/eegconformer/fold-0/seed-0/evaluation/coral__lambda-1.00/embeddings.npz,1733882,7c5621663e42b749ee5a039501796228e4b52411906fd89d302d99d0723f2d09
