analysis,analysis_role,dataset,subject_cluster,fold,RMSE_M0,RMSE_MI,RMSE_MD,RMSE_MID,Delta_MI_minus_MD,backbone_count,repeated_backbone_rows
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S001,3,0.05793897957712052,0.0584269198456433,0.06413646176192875,0.06381678039466454,-0.005709541916285442,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S002,1,0.040595991921951985,0.0392262467587805,0.03446337239917921,0.034659056876676156,0.004762874359601292,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S003,4,0.08108311996446019,0.08128035503776654,0.07937689230753861,0.07950201616001165,0.0019034627302279283,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S004,3,0.040282198975715076,0.04123523313547808,0.04093918313996623,0.041266853085314206,0.00029604999551184966,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S005,3,0.0988412446012642,0.09408379241279977,0.08780918851193892,0.08763347044303624,0.006274603900860834,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S006,3,0.05580276544841488,0.06002256314580473,0.06116914957678283,0.06115165120563962,-0.001146586430978095,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S007,4,0.0288775762330907,0.028901726729141437,0.02911333700852428,0.029472761135445363,-0.00021161027938284248,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S008,2,0.053503728463419345,0.05489092901545482,0.06400650744923647,0.06405999155337537,-0.009115578433781656,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S009,2,0.02442371695247287,0.02499581223923615,0.020742581992993343,0.02092686592189434,0.0042532302462428085,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S010,4,0.06597886380947504,0.06785732320831399,0.0703824645429926,0.07070624770201192,-0.002525141334678611,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S011,1,0.029358427899179168,0.030009209806650654,0.029771970082352106,0.029650314367453242,0.00023723972429854842,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S012,0,0.046926332502141586,0.04706210148729452,0.04168188839883423,0.04200327257817435,0.0053802130884602895,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S013,2,0.05534906773261403,0.05481883592316939,0.04893291853614162,0.04896950737838205,0.005885917387027765,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S014,0,0.0261592381357818,0.025669856203640616,0.02630829983413465,0.026453286724706846,-0.0006384436304940327,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S015,3,0.06945740316724494,0.06418633992680187,0.05662209704366489,0.05634101613011947,0.007564242883136979,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S016,2,0.05631471384599679,0.05577210320194789,0.050294218965506586,0.050351599750321746,0.005477884236441303,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S017,2,0.0369055002285908,0.037428081940036294,0.04105991871958459,0.041082676552796564,-0.0036318367795482916,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S018,3,0.05737545114907101,0.06237595333041969,0.06831041834951046,0.06845676590704516,-0.005934465019090764,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S019,3,0.06856717708240816,0.06298177099204377,0.05621111832795986,0.05581160131917602,0.006770652664083922,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S020,4,0.04803007929639631,0.04761449393702931,0.04467206406370104,0.04470960250729238,0.0029424298733282672,2,2
OPENBMI_EQUAL_CONFIG_SECONDARY,MANDATORY_GRID_WEIGHTING_SENSITIVITY,OPENBMI_STRESS,OB-S021,4,0.0696393077388384,0.06939864208985008,0.06701597042280756,0.06709371741910225,0.0023826716670425248,2,2
