dataset,method,seed,status,parameter_count,best_epoch,best_validation_ba
eegmmidb,B4,0,complete,7961348,2,0.2741264279236117
eegmmidb,B4,1,complete,7961348,4,0.2671432946909073
eegmmidb,B4,2,complete,7961348,9,0.2684408402970117
eegmmidb,B5,0,complete,7959300,1,0.2758033999273688
eegmmidb,B5,1,complete,7959300,2,0.2633706527263134
eegmmidb,B5,2,complete,7959300,1,0.2689618453343441
eegmmidb,B2,0,complete,7959300,1,0.2675697172416444
eegmmidb,B2,1,complete,7959300,11,0.2792460306011877
eegmmidb,B2,2,complete,7959300,1,0.2767815313216568
eegmmidb,B3,0,complete,7959300,1,0.2647994640871641
eegmmidb,B3,1,complete,7959300,11,0.2765105438788552
eegmmidb,B3,2,complete,7959300,1,0.2740306974074767
eegmmidb,B6,0,complete,7966724,3,0.2781329943932147
eegmmidb,B6,1,complete,7966724,1,0.27972656750792746
eegmmidb,B6,2,complete,7966724,9,0.27069250486718843
